,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Defined Pension Benefit,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Depositsby Bank,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Financial Instruments Sold Under Agreements To Repurchase,Securities Loaned,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Dividends Payable,Other Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Capital Lease Obligation,Long Term Provisions,Employee Benefits,Non Current Pension And Other Post-Retirement Benefit Plans,Current Deferred Liabilities,Current Deferred Taxes Liabilities,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Non Current Deferred Revenue,Preferred Securities Outside Stock Equity,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
20,4/30/2018,"1,283,836,000","181,498,000","40,584,000","4,197,000",-,"36,387,000","140,914,000","140,914,000","140,914,000","14,913,000","231,646,000","114,017,000","97,635,000",-,"134,011,000","7,904,000","55,098,000","736,016,000","739,565,000",-,"210,726,000","195,670,000","219,152,000","114,017,000","3,549,000","27,826,000","10,088,000",-,"17,738,000","930,000","5,187,000",-,-,-,-,-,-,"18,678,000","16,169,000","2,509,000","2,661,000","2,661,000","13,000","1,466,000","1,207,174,000","933,194,000","933,194,000","22,307,000","910,887,000",-,"96,177,000","96,177,000","37,405,000","25,685,000","23,160,000","23,099,000","61,000","61,000",-,-,"2,525,000",-,-,-,-,-,"37,423,000","47,905,000","35,260,000","35,260,000",-,"1,295,000","2,323,000","2,323,000",-,-,"178,000","178,000",-,-,"27,734,000","76,662,000","75,670,000","26,303,000","5,100,000","21,203,000","43,363,000","194,000","113,000","5,923,000",-,-,-,"992,000","110,930,000","5,100,000","70,570,000",-,"56,992,000","105,830,000","51,892,000","35,260,000",-,"1,846,300","1,844,600","204,000","1,700"
21,1/31/2018,"1,261,316,000","173,389,000","48,789,000","3,896,000",-,"44,893,000","124,600,000","124,600,000","124,600,000","14,817,000","224,766,000","111,875,000","89,504,000",-,"135,262,000","7,505,000","60,557,000","719,004,000","722,469,000",-,"201,878,000","190,845,000","217,871,000","111,875,000","3,465,000","33,296,000","9,766,000",-,"23,530,000","930,000","5,102,000",-,-,-,-,-,-,"18,079,000","15,558,000","2,521,000","2,352,000","2,352,000","13,000","1,506,000","1,188,142,000","907,271,000","907,271,000","22,959,000","884,312,000",-,"83,948,000","83,948,000","37,167,000","32,900,000","30,608,000","30,571,000","37,000","37,000",-,-,"2,292,000",-,-,-,-,-,"37,197,000","58,578,000","35,131,000","35,131,000",-,"1,295,000","2,333,000","2,333,000",-,-,"178,000","178,000",-,-,"29,311,000","73,174,000","72,188,000","25,844,000","4,750,000","21,094,000","41,744,000","229,000","101,000","4,472,000",-,-,-,"986,000","107,319,000","4,750,000","67,438,000",-,"54,109,000","102,569,000","49,359,000","35,131,000",-,"1,845,175","1,843,675","54,000","1,500"
22,10/31/2017,"1,278,995,000","189,585,000","55,156,000","3,971,000",-,"51,185,000","134,429,000","134,429,000","134,429,000","17,297,000","221,806,000","103,918,000","4,032,000","71,363,000","146,411,000","7,784,000","56,195,000","716,509,000","720,292,000",-,"200,978,000","190,108,000","222,079,000","107,127,000","3,783,000","29,971,000","9,877,000",-,"29,971,000","1,006,000","5,313,000","8,306,000","969,000","3,315,000","2,138,000","1,884,000","-2,993,000","18,774,000","16,156,000","2,618,000","2,497,000","2,497,000","13,000","13,264,000","1,203,805,000","912,764,000","912,764,000","25,887,000","886,877,000",-,"88,591,000","88,591,000","35,482,000","32,851,000","32,851,000","32,851,000","82,000","82,000",-,-,"3,348,000","116,074,000","116,074,000","16,899,000","90,746,000","8,429,000","35,490,000","51,214,000","38,361,000","38,361,000",-,"1,016,000","2,463,000","2,463,000",-,-,"178,000","178,000",-,-,"44,534,000","75,190,000","74,207,000","25,681,000","4,750,000","20,931,000","40,489,000","214,000","183,000","8,006,000",-,-,-,"983,000","112,568,000","4,750,000","69,457,000",-,"55,433,000","107,818,000","50,683,000","38,361,000","178,818,000","1,845,370","1,842,470","190,000","2,900"
23,7/31/2017,"1,202,381,000","170,114,000","49,714,000","4,113,000",-,"45,601,000","120,400,000","120,400,000","120,400,000","16,855,000","198,339,000","99,819,000","3,833,000","71,233,000","123,273,000","6,714,000","63,087,000","692,188,000","695,865,000",-,"193,505,000","183,855,000","215,505,000","103,000,000","3,677,000","26,714,000","9,340,000",-,"17,374,000","931,000","5,154,000",-,-,-,-,-,-,"18,216,000","15,630,000","2,586,000","2,472,000","2,472,000","11,000","1,586,000","1,128,917,000","855,599,000","855,599,000","22,729,000","832,870,000",-,"78,118,000","78,118,000","34,806,000","25,425,000","22,692,000","22,578,000","114,000","114,000",-,-,"2,733,000",-,-,-,-,-,"34,845,000","61,300,000","38,837,000","38,837,000",-,"962,000","2,345,000","2,345,000",-,-,"327,000","327,000",-,-,"31,159,000","73,464,000","71,876,000","25,662,000","4,750,000","20,912,000","39,473,000","207,000","30,000","6,564,000",-,-,-,"1,588,000","110,713,000","4,750,000","67,126,000",-,"53,660,000","105,963,000","48,910,000","38,837,000",-,"1,848,893","1,848,593","190,000",300
24,4/30/2017,"1,251,920,000","173,332,000","59,498,000","5,271,000",-,"54,227,000","113,834,000","113,834,000","113,834,000","17,002,000","208,293,000","111,833,000","3,971,000","82,330,000","121,992,000","7,281,000","62,674,000","710,294,000","714,186,000",-,"202,672,000","181,504,000","217,143,000","112,867,000","3,892,000","42,953,000","10,580,000",-,"32,373,000","975,000","5,461,000",-,-,-,-,-,-,"19,658,000","16,942,000","2,716,000","2,394,000","2,394,000","11,000","1,592,000","1,175,681,000","900,070,000","900,070,000","22,689,000","877,381,000",-,"74,608,000","74,608,000","32,611,000","38,201,000","35,895,000","35,816,000","79,000","79,000",-,-,"2,306,000",-,-,-,-,-,"32,617,000","57,353,000","38,504,000","38,504,000",-,"1,016,000","2,879,000","2,879,000",-,-,"346,000","346,000",-,-,"30,087,000","76,239,000","74,587,000","25,209,000","4,400,000","20,809,000","37,577,000","200,000","252,000","11,853,000",-,-,-,"1,652,000","113,091,000","4,400,000","70,187,000",-,"54,929,000","108,691,000","50,529,000","38,504,000",-,"1,847,200","1,843,400","176,000","3,800"
25,1/31/2017,"1,186,883,000","154,575,000","58,186,000","3,748,000",-,"54,438,000","96,389,000","96,389,000","96,389,000","11,741,000","195,850,000","110,261,000","4,594,000","77,981,000","113,275,000","6,883,000","60,640,000","694,919,000","698,734,000",-,"195,600,000","176,179,000","215,658,000","111,297,000","3,815,000","33,138,000","9,878,000",-,"23,260,000","900,000","5,355,000",-,-,-,-,-,-,"18,883,000","16,222,000","2,661,000","2,295,000","2,295,000","11,000","1,693,000","1,113,581,000","866,019,000","866,019,000","20,443,000","845,576,000",-,"59,338,000","59,338,000","30,532,000","31,935,000","29,865,000","29,794,000","71,000","71,000",-,-,"2,070,000",-,-,-,-,-,"30,556,000","57,936,000","38,114,000","38,114,000",-,"963,000","2,341,000","2,341,000",-,-,"344,000","344,000",-,-,"26,035,000","73,302,000","71,680,000","25,236,000","4,400,000","20,836,000","37,330,000","206,000","223,000","9,131,000",-,-,-,"1,622,000","109,794,000","4,400,000","67,280,000",-,"52,797,000","105,394,000","48,397,000","38,114,000",-,"1,859,700","1,856,400","176,000","3,300"
26,10/31/2016,"1,176,967,000","143,673,000","57,621,000","3,907,000",-,"53,714,000","86,052,000","86,052,000","86,052,000","15,706,000","196,249,000","99,257,000","4,283,000","84,395,000","107,571,000","7,091,000","72,242,000","684,913,000","688,786,000",-,"194,074,000","176,445,000","217,336,000","100,931,000","3,873,000","17,436,000","9,726,000",-,"17,436,000","906,000","5,482,000","8,398,000","1,012,000","3,349,000","2,179,000","1,858,000","-2,916,000","19,301,000","16,662,000","2,639,000","2,084,000","2,084,000","11,000","12,790,000","1,102,753,000","853,446,000","853,446,000","17,201,000","836,245,000",-,"48,973,000","48,973,000","33,115,000","17,857,000","17,857,000","17,857,000","58,000","58,000",-,-,"2,829,000",-,-,-,-,-,"33,305,000","65,425,000","41,299,000","41,299,000",-,"1,025,000","3,011,000","3,011,000",-,-,"345,000","345,000",-,-,"42,448,000","74,214,000","72,564,000","25,111,000","4,400,000","20,711,000","35,452,000","203,000","36,000","11,834,000",-,-,-,"1,650,000","113,863,000","4,400,000","68,164,000",-,"53,263,000","109,463,000","48,863,000","41,299,000",-,"1,857,987","1,857,587","156,000",400
27,7/31/2016,"1,182,436,000","158,307,000","58,198,000","3,593,000",-,"54,605,000","100,109,000","100,109,000","100,109,000","15,756,000","185,348,000","102,934,000","4,333,000","81,341,000","99,674,000","6,859,000","77,858,000","674,571,000","678,344,000",-,"186,089,000","172,564,000","215,050,000","104,641,000","3,773,000","34,951,000","9,652,000",-,"25,299,000","940,000","5,309,000",-,-,-,-,-,-,"18,804,000","16,262,000","2,542,000","1,850,000","1,850,000","12,000","1,871,000","1,111,232,000","830,996,000","830,996,000","18,959,000","812,037,000",-,"58,762,000","58,762,000","44,564,000","33,243,000","30,847,000","30,648,000","199,000","199,000",-,-,"2,396,000",-,-,-,-,-,"44,977,000","69,720,000","40,399,000","40,399,000",-,"954,000","2,864,000","2,864,000",-,-,"335,000","335,000",-,-,"28,982,000","71,204,000","69,571,000","23,997,000","3,400,000","20,597,000","34,387,000","197,000","47,000","11,037,000",-,-,-,"1,633,000","109,970,000","3,400,000","66,171,000",-,"50,767,000","106,570,000","47,367,000","40,399,000",-,"1,855,500","1,854,800","136,000",700
28,4/30/2016,"1,124,786,000","144,890,000","51,070,000","3,292,000",-,"47,778,000","93,820,000","93,820,000","93,820,000","15,467,000","174,804,000","93,140,000","4,279,000","76,881,000","93,644,000","6,473,000","73,092,000","646,504,000","650,120,000",-,"177,104,000","166,074,000","211,982,000","94,960,000","3,616,000","35,898,000","9,327,000",-,"26,571,000","904,000","5,160,000",-,-,-,-,-,-,"18,198,000","15,689,000","2,509,000","1,987,000","1,987,000","12,000","1,397,000","1,056,963,000","780,933,000","780,933,000","14,479,000","766,454,000",-,"63,828,000","63,828,000","40,726,000","32,700,000","30,695,000","30,597,000","98,000","98,000",-,-,"2,005,000",-,-,-,-,-,"41,488,000","67,283,000","40,707,000","40,707,000",-,"914,000","2,425,000","2,425,000",-,-,"309,000","309,000",-,-,"26,376,000","67,823,000","66,211,000","23,899,000","3,400,000","20,499,000","33,442,000","189,000","8,000","8,689,000",-,-,-,"1,612,000","106,918,000","3,400,000","62,811,000",-,"48,013,000","103,518,000","44,613,000","40,707,000",-,"1,853,800","1,853,500","136,000",300
29,1/31/2016,"1,173,584,000","152,884,000","51,943,000","3,204,000",-,"48,739,000","100,941,000","100,941,000","100,941,000","16,720,000","179,104,000","101,360,000","4,525,000","80,207,000","94,372,000","7,220,000","85,642,000","668,388,000","672,114,000",-,"182,399,000","170,682,000","215,456,000","103,577,000","3,726,000","33,486,000","10,058,000",-,"23,428,000","878,000","5,557,000",-,-,-,-,-,-,"20,109,000","17,386,000","2,723,000","2,131,000","2,131,000","11,000","1,454,000","1,101,910,000","820,707,000","820,707,000","16,231,000","804,476,000",-,"65,437,000","65,437,000","41,876,000","30,060,000","28,380,000","28,002,000","378,000","378,000",-,-,"1,680,000",-,-,-,-,-,"42,900,000","71,012,000","40,121,000","40,121,000",-,"1,064,000","2,294,000","2,294,000",-,-,"315,000","315,000",-,-,"28,000,000","71,674,000","69,990,000","23,795,000","3,400,000","20,395,000","32,585,000","198,000","55,000","13,467,000",-,-,-,"1,684,000","110,111,000","3,400,000","66,590,000",-,"49,881,000","106,711,000","46,481,000","40,121,000",-,"1,851,300","1,850,300","136,000","1,000"
30,10/31/2015,"1,104,373,000","143,001,000","45,637,000","3,154,000",-,"42,483,000","97,364,000","97,364,000","97,364,000","16,646,000","167,610,000","95,157,000","4,378,000","74,450,000","88,782,000","6,683,000","69,438,000","639,498,000","642,932,000",-,"167,529,000","165,686,000","212,373,000","97,344,000","3,434,000","21,996,000","9,373,000",-,"21,996,000","869,000","5,314,000","8,261,000","1,018,000","3,256,000","2,233,000","1,754,000","-2,947,000","19,008,000","16,337,000","2,671,000","1,931,000","1,931,000","104,000","13,248,000","1,037,345,000","770,335,000","770,335,000","17,080,000","753,255,000",-,"67,156,000","67,156,000","38,803,000","22,664,000","22,664,000","22,664,000","69,000","69,000",-,-,"2,601,000","99,242,000","99,242,000","16,299,000","81,350,000","1,593,000","40,218,000","57,218,000","42,366,000","42,366,000",-,"1,100,000","1,947,000","1,947,000",-,-,"323,000","323,000",-,-,"37,388,000","67,028,000","65,418,000","22,994,000","2,700,000","20,294,000","32,053,000","214,000","52,000","10,209,000",-,-,-,"1,610,000","107,784,000","2,700,000","62,718,000",-,"46,410,000","105,084,000","43,710,000","42,366,000","161,929,000","1,857,292","1,856,192","108,000","1,100"
31,7/31/2015,"1,099,202,000","154,948,000","52,623,000","3,542,000",-,"49,081,000","102,325,000","102,325,000","102,325,000","14,271,000","155,252,000","108,472,000","4,005,000","73,661,000","77,586,000","6,577,000","75,056,000","637,100,000","640,444,000",-,"160,173,000","161,216,000","208,286,000","110,769,000","3,344,000","27,089,000","8,967,000",-,"18,122,000","1,027,000","5,304,000",-,-,-,-,-,-,"19,037,000","16,342,000","2,695,000","2,114,000","2,114,000","17,000","1,410,000","1,033,237,000","766,333,000","766,333,000","20,105,000","746,228,000",-,"74,027,000","74,027,000","34,336,000","22,415,000","20,029,000","19,907,000","122,000","122,000",-,-,"2,386,000",-,-,-,-,-,"36,117,000","63,120,000","42,298,000","42,298,000",-,"772,000","2,509,000","2,509,000",-,-,"347,000","347,000",-,-,"25,299,000","65,965,000","64,326,000","22,880,000","2,700,000","20,180,000","30,764,000","226,000","21,000","10,477,000",-,-,-,"1,639,000","106,624,000","2,700,000","61,626,000",-,"45,289,000","103,924,000","42,589,000","42,298,000",-,"1,853,900","1,853,600","108,000",300
32,4/30/2015,"1,030,954,000","138,269,000","49,025,000","2,945,000",-,"46,080,000","89,244,000","89,244,000","89,244,000","15,199,000","143,690,000","102,844,000","3,900,000","69,342,000","70,448,000","6,017,000","65,072,000","608,140,000","611,290,000",-,"149,666,000","154,734,000","201,535,000","105,355,000","3,150,000","27,512,000","8,655,000",-,"18,857,000","891,000","5,100,000",-,-,-,-,-,-,"17,758,000","15,122,000","2,636,000","1,931,000","1,931,000","16,000","1,359,000","969,357,000","719,359,000","719,359,000","22,509,000","696,850,000",-,"59,495,000","59,495,000","32,474,000","24,132,000","22,008,000","21,967,000","41,000","41,000",-,-,"2,124,000",-,-,-,-,-,"34,802,000","60,537,000","41,049,000","41,049,000",-,"779,000","2,733,000","2,733,000",-,-,"308,000","308,000",-,-,"26,163,000","61,597,000","60,008,000","22,876,000","2,800,000","20,076,000","29,362,000","226,000","25,000","7,569,000",-,-,-,"1,589,000","101,057,000","2,800,000","57,208,000",-,"42,250,000","98,257,000","39,450,000","41,049,000",-,"1,851,900","1,851,600","112,000",300
33,1/31/2015,"1,080,155,000","146,934,000","53,523,000","2,899,000",-,"50,624,000","93,411,000","93,411,000","93,411,000","12,312,000","142,080,000","107,488,000","4,097,000","70,559,000","67,424,000","6,335,000","93,223,000","616,419,000","619,682,000",-,"151,018,000","155,577,000","202,821,000","110,266,000","3,263,000","34,405,000","8,908,000",-,"25,497,000","986,000","5,317,000",-,-,-,-,-,-,"18,641,000","15,848,000","2,793,000","2,092,000","2,092,000","17,000","1,394,000","1,017,526,000","736,137,000","736,137,000","28,337,000","707,800,000",-,"59,623,000","59,623,000","34,878,000","31,229,000","29,397,000","29,171,000","226,000","226,000",-,-,"1,832,000",-,-,-,-,-,"37,629,000","80,674,000","44,254,000","44,254,000",-,"587,000","2,912,000","2,912,000",-,-,"351,000","351,000",-,-,"24,130,000","62,629,000","61,009,000","22,648,000","2,700,000","19,948,000","28,373,000","214,000","182,000","9,956,000",-,-,-,"1,620,000","105,263,000","2,700,000","58,309,000",-,"42,368,000","102,563,000","39,668,000","44,254,000",-,"1,849,100","1,845,500","108,000","3,600"
34,10/31/2014,"944,742,000","121,585,000","46,554,000","2,781,000",-,"43,773,000","75,031,000","75,031,000","75,031,000","13,080,000","215,761,000","91,031,000","59,407,000","53,467,000","11,856,000","5,569,000","55,363,000","489,051,000","492,079,000",-,"131,349,000","148,981,000","198,912,000","12,837,000","3,028,000","18,219,000","7,870,000",-,"10,349,000","829,000","4,930,000","7,524,000","909,000","2,897,000","2,157,000","1,561,000","-2,594,000","16,913,000","14,233,000","2,680,000","2,008,000","2,008,000","15,000","1,419,000","888,511,000","660,050,000","660,050,000","15,771,000","644,279,000",-,"45,587,000","45,587,000","39,465,000","17,680,000","15,027,000","14,993,000","34,000","34,000",-,-,"2,653,000",-,-,-,-,-,"42,715,000","50,776,000","43,943,000","43,943,000",-,"631,000","2,393,000","2,393,000",-,-,"287,000","287,000",-,-,"24,449,000","56,231,000","54,682,000","22,011,000","2,200,000","19,811,000","27,585,000","205,000","55,000","4,936,000",-,-,-,"1,549,000","98,625,000","2,200,000","52,482,000",-,"37,769,000","96,425,000","35,569,000","43,943,000",-,"1,847,843","1,846,243","88,000","1,600"
35,7/31/2014,"921,750,000","124,081,000","39,807,000","3,099,000",-,"36,708,000","84,274,000","84,274,000","84,274,000","12,599,000","123,370,000","101,749,000","5,030,000","56,522,000","61,818,000","5,332,000","46,458,000","567,690,000","570,695,000",-,"125,651,000","146,930,000","193,594,000","104,520,000","3,005,000","16,639,000","7,364,000",-,"9,275,000","982,000","4,742,000",-,-,-,-,-,-,"16,484,000","13,822,000","2,662,000","1,917,000","1,917,000","61,000","1,395,000","866,995,000","635,003,000","635,003,000","16,411,000","618,592,000",-,"51,703,000","51,703,000","39,013,000","16,906,000","14,400,000","14,340,000","60,000","60,000",-,-,"2,506,000",-,-,-,-,-,"42,650,000","45,354,000","46,775,000","46,775,000",-,"576,000","2,075,000","2,075,000",-,-,"287,000","287,000",-,"29,000","25,637,000","54,755,000","53,224,000","22,330,000","2,625,000","19,705,000","26,970,000","184,000","94,000","3,834,000",-,-,-,"1,531,000","99,999,000","2,625,000","50,599,000",-,"36,740,000","97,374,000","34,115,000","46,775,000","6,968,000","1,844,200","1,841,600","105,000","2,600"
36,4/30/2014,"896,468,000","109,202,000","36,891,000","2,873,000",-,"34,018,000","72,311,000","72,311,000","72,311,000","12,040,000","119,237,000","99,461,000","5,952,000","56,534,000","56,751,000","5,316,000","50,343,000","555,374,000","558,423,000",-,"121,222,000","145,435,000","189,344,000","102,422,000","3,049,000","19,569,000","7,351,000",-,"12,218,000","818,000","4,758,000",-,-,-,-,-,-,"16,535,000","13,879,000","2,656,000","1,933,000","1,933,000","60,000","1,283,000","842,699,000","612,185,000","612,185,000","15,763,000","596,422,000",-,"44,741,000","44,741,000","37,516,000","19,489,000","17,461,000","17,258,000","203,000","203,000",-,-,"2,028,000",-,-,-,-,-,"41,624,000","47,882,000","49,785,000","49,785,000",-,"730,000","1,833,000","1,833,000",-,-,"302,000","302,000",-,"29,000","24,099,000","53,769,000","52,235,000","21,843,000","2,250,000","19,593,000","26,134,000","173,000","121,000","4,206,000",-,-,-,"1,534,000","102,020,000","2,250,000","49,985,000",-,"35,700,000","99,770,000","33,450,000","49,785,000","12,894,000","1,848,500","1,845,100","90,000","3,400"
37,1/31/2014,"908,896,000","119,150,000","47,036,000","2,874,000",-,"44,162,000","72,114,000","72,114,000","72,114,000","9,011,000","117,869,000","101,144,000","6,372,000","55,358,000","56,139,000","5,451,000","57,123,000","557,592,000","560,671,000",-,"120,838,000","146,052,000","188,879,000","104,902,000","3,079,000","17,009,000","7,386,000",-,"9,623,000","915,000","4,840,000",-,-,-,-,-,-,"16,770,000","14,079,000","2,691,000","1,752,000","1,752,000","59,000","1,355,000","854,987,000","624,186,000","624,186,000","16,119,000","608,067,000",-,"39,578,000","39,578,000","40,979,000","16,454,000","14,834,000","14,622,000","212,000","212,000",-,-,"1,620,000",-,-,-,-,-,"45,368,000","53,668,000","52,457,000","52,457,000",-,"660,000","1,794,000",-,-,-,"302,000","302,000",-,"29,000","20,491,000","53,909,000","52,366,000","22,377,000","2,925,000","19,452,000","25,108,000","163,000","156,000","4,874,000",-,-,-,"1,543,000","104,823,000","2,925,000","49,441,000",-,"35,596,000","101,898,000","32,671,000","52,457,000","5,421,000","3,683,400","3,675,400","20,000","8,000"
38,10/31/2013,"862,532,000","96,719,000","32,436,000","3,581,000",-,"28,855,000","64,283,000","64,283,000","64,283,000","6,399,000","207,743,000","91,709,000","70,998,000","27,015,000","18,021,000","5,300,000","49,461,000","455,141,000","457,996,000",-,"116,799,000","141,414,000","185,820,000","13,963,000","2,855,000","17,841,000","8,075,000",-,"9,766,000",-,"4,635,000","7,057,000","858,000","2,668,000","2,154,000","1,377,000","-2,422,000","15,790,000","13,297,000","2,493,000","1,588,000","1,588,000","506,000","1,409,000","810,559,000","591,069,000","591,069,000","20,523,000","570,546,000",-,"34,414,000","34,414,000","41,829,000","15,267,000","12,981,000","12,847,000","134,000","134,000",-,-,"2,286,000",-,-,-,-,-,"41,841,000","49,471,000","55,534,000","55,534,000",-,"696,000","1,369,000",-,-,-,"321,000","321,000",-,"27,000","20,550,000","51,973,000","50,465,000","22,711,000","3,395,000","19,316,000","24,565,000","170,000","147,000","3,166,000",-,-,-,"1,508,000","105,999,000","3,395,000","47,070,000",-,"34,675,000","102,604,000","31,280,000","55,534,000","23,098,000","1,842,698","1,838,898","135,800","3,800"
39,7/31/2013,"835,101,000","88,851,000","24,821,000","3,067,000",-,"21,754,000","64,030,000","64,030,000","64,030,000","7,936,000","112,902,000","96,794,000","6,153,000","16,434,000","90,315,000","5,163,000","49,846,000","530,562,000","533,425,000",-,"110,244,000","140,763,000","181,510,000","100,908,000","2,863,000","16,407,000","8,066,000",-,"8,341,000",-,"4,523,000",-,-,-,-,-,-,"15,611,000","13,121,000","2,490,000","1,392,000","1,392,000","479,000","1,429,000","784,183,000","562,156,000","562,156,000","10,467,000","551,689,000",-,"31,786,000","31,786,000","39,865,000","16,826,000","14,941,000","14,890,000","51,000","51,000",-,-,"1,885,000",-,-,-,-,-,"39,922,000","51,751,000","58,278,000","58,278,000",-,"564,000","1,355,000",-,-,-,"305,000","305,000",-,"27,000","21,213,000","50,918,000","49,419,000","22,613,000","3,395,000","19,218,000","24,122,000","181,000","147,000","2,650,000",-,-,-,"1,499,000","107,697,000","3,395,000","46,024,000",-,"33,808,000","104,302,000","30,413,000","58,278,000","33,457,000","1,847,200","1,843,400","135,800","3,800"
40,4/30/2013,"826,407,000","91,339,000","22,793,000","3,042,000",-,"19,751,000","68,546,000","68,546,000","68,546,000","8,829,000","100,041,000","94,614,000","6,113,000","12,851,000","81,077,000","5,337,000","60,402,000","523,294,000","526,031,000",-,"110,624,000","139,130,000","176,564,000","99,713,000","2,737,000","14,963,000","8,095,000",-,"6,868,000",-,"4,421,000",-,-,-,-,-,-,"15,369,000","12,897,000","2,472,000","663,000","663,000","425,000","1,324,000","775,248,000","544,215,000","544,215,000","13,705,000","530,510,000",-,"30,011,000","30,011,000","40,023,000","12,701,000","11,102,000","11,037,000","65,000","65,000",-,-,"1,599,000",-,-,-,-,-,"40,038,000","62,636,000","60,482,000","60,482,000",-,"731,000","1,330,000",-,-,-,"355,000","355,000",-,"26,000","22,723,000","51,159,000","49,667,000","22,528,000","3,395,000","19,133,000","23,674,000","190,000","126,000","3,401,000",-,-,-,"1,492,000","110,149,000","3,395,000","46,272,000",-,"34,298,000","106,754,000","30,903,000","60,482,000","37,689,000","1,850,600","1,847,400","135,800","3,200"
41,1/31/2013,"818,482,000","99,800,000","33,748,000","3,136,000",-,"30,612,000","66,052,000","66,052,000","66,052,000","8,352,000","94,998,000","97,835,000","6,283,000",-,"88,715,000","5,248,000","59,640,000","512,315,000","515,001,000",-,"104,865,000","133,296,000","174,069,000","102,771,000","2,686,000","16,538,000","7,879,000",-,"8,659,000",-,"4,353,000",-,-,-,-,-,-,"14,504,000","12,292,000","2,212,000","972,000","972,000","421,000","1,341,000","768,702,000","538,349,000","538,349,000","12,169,000","526,180,000",-,"37,344,000","37,344,000","34,209,000","13,559,000","12,220,000","12,096,000","124,000","124,000",-,-,"1,339,000",-,-,-,-,-,"34,234,000","62,580,000","59,244,000","59,244,000",-,"739,000","1,328,000",-,-,-,"326,000","326,000",-,"26,000","20,973,000","49,780,000","48,295,000","22,418,000","3,395,000","19,023,000","22,772,000","185,000","138,000","3,058,000",-,-,-,"1,485,000","107,539,000","3,395,000","44,900,000",-,"33,791,000","104,144,000","30,396,000","59,244,000","25,496,000","1,844,800","1,841,000","135,800","3,800"
42,10/31/2012,"811,106,000","94,326,000","25,128,000","3,436,000",-,"25,128,000","69,198,000","69,198,000","69,198,000","7,223,000","199,280,000","94,531,000","98,576,000",-,"6,173,000","5,344,000","60,919,000","408,848,000","411,492,000",-,"101,041,000","133,285,000","172,172,000","106,035,000","2,644,000","439,000","7,315,000",-,"439,000",-,"4,402,000","6,644,000","860,000","2,432,000","2,081,000","1,271,000","-2,242,000","14,528,000","12,311,000","2,217,000","883,000","883,000","426,000","14,914,000","762,106,000","487,754,000","487,754,000","14,957,000","487,754,000",-,"72,251,000","72,251,000","33,435,000","167,000","167,000","10,123,000","167,000","167,000",-,-,"2,030,000",-,-,-,-,-,"33,452,000","64,997,000","11,318,000","11,318,000",-,"656,000","1,308,000",-,-,-,"327,000","327,000","7,223,000","26,000","124,610,000","49,000,000","47,523,000","22,086,000","3,395,000","18,691,000","21,763,000","196,000","167,000","3,645,000",-,-,-,"1,477,000","58,841,000","3,395,000","44,128,000",-,"32,995,000","55,446,000","29,600,000","11,318,000","37,704,000","1,840,668","1,836,468","135,800","4,200"
