,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Long Term Debt And Capital Securities,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Credit Card,Other Customer Services,Fees & Commission Expense,Dividend Income,Trading Gain Loss,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Other Special Charges,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
97,4/30/1999,"1,748,067","704,012","2,652,954",-,-,-,-,-,"1,948,942",-,-,-,"1,044,055",-,"230,051","230,051",-,-,-,-,-,-,-,"264,041","264,041",-,-,"549,964","-74,982","1,139,023","191,977",-,-,-,"605,981","605,981","605,981",-,-,-,-,-,-,-,"341,065",-,-,-,-,"534,063","185,996",-,"337,126","348,067","348,067","348,067",-,"10,941","337,126",0.28,0.28,"1,187,148","1,187,148","629,030","348,067","348,067",-,-,"348,067",-,-,0,0
98,1/31/1999,"1,730,020","793,020","2,693,005",-,-,-,-,-,"1,899,985",-,-,-,"937,000",-,"213,930","213,930","67,986",-,-,"145,943",-,-,-,"132,044","132,044",-,-,"591,026","-174,951","1,071,008","182,958",-,-,-,"576,975","576,975","576,975",-,-,-,-,-,-,-,"311,074",-,-,-,-,"483,910","171,929",-,"300,952","311,981","311,981","311,981",-,"11,029","300,952",0.26,0.26,"1,171,839","1,171,839","618,069","311,981","311,981",-,-,"311,981",-,-,0,0
99,10/31/1998,"1,384,999","728,040","2,829,116",-,-,-,-,-,"2,101,076",-,-,-,"656,959",-,"349,022","349,022","72,033",-,-,"276,989",-,-,-,"60,090","60,090",-,-,"247,847","-62,012","1,024,039","182,969",-,-,-,"568,059","568,059","568,059",-,-,-,-,-,-,-,"273,011",-,-,-,-,"298,951","65,019",-,"221,818","233,931","233,931","233,931",-,"12,113","221,818",-,-,-,-,"666,028","233,931","233,931",-,-,"233,931",-,-,0,0
100,7/31/1998,"1,741,043","736,054","2,578,987",-,-,-,-,-,"1,842,933",-,-,-,"1,004,989",-,"190,930","190,930","71,958",-,-,"118,972",-,-,-,"248,073","248,073",-,-,"565,986","-263,039","1,032,955","175,057",-,-,-,"565,986","565,986","565,986",-,-,-,-,-,-,-,"291,912",-,-,-,-,"445,049","157,974",-,"275,132","287,075","287,075","287,075",-,"11,943","275,132",0.23,0.23,"1,177,691","1,177,691","473,016","287,075","287,075",-,-,"287,075",-,-,0,0
101,4/30/1998,"1,545,025","716,965","2,318,969",-,-,-,-,-,"1,602,004",-,-,-,"828,060",-,"174,946","174,946","70,007",-,-,"104,939",-,-,-,"41,947","41,947",-,-,"611,167","-61,990","984,968","165,068",-,-,-,"553,042","553,042","553,042",-,-,-,-,-,-,-,"266,858",-,-,-,-,"497,924","190,981",-,"296,922","306,943","306,943","306,943",-,"10,021","296,922",0.25,0.25,"1,186,193","1,186,193","654,975","306,943","306,943",-,-,"306,943",-,-,0,0
102,1/31/1998,"1,467,016","760,012","2,269,987",-,-,-,-,-,"1,509,975",-,-,-,"707,005",-,"151,012","151,012","69,026",-,-,"81,986",-,-,-,"35,969","35,969",-,-,"520,023","-63,055","913,936","155,963",-,-,-,"479,977","479,977","479,977",-,-,-,-,-,-,-,"277,996",-,-,-,-,"490,025","197,029",-,"281,928","292,995","292,995","292,995",-,"11,067","281,928",0.24,0.24,"1,168,904","1,168,904","696,956","292,995","292,995",-,-,"292,995",-,-,0,0
103,10/31/1997,"1,639,103","751,011","2,128,903",-,-,-,-,-,"1,377,892",-,-,-,"888,092",-,"-476,101","-476,101",-,-,-,-,-,-,-,"231,931","231,931",-,-,"1,132,262","-239,894","955,064","-108,037",-,-,-,"527,939","527,939","527,939",-,-,-,-,-,-,-,"535,163",-,-,-,-,"444,007","155,027",-,"281,018","288,981","288,981","288,981",-,"7,963","281,018",-,-,-,-,"511,117","288,981","288,981",-,-,"288,981",-,-,0,0
104,7/31/1997,"1,359,063","701,999","1,960,028",-,-,-,-,-,"1,258,029",-,-,-,"657,064",-,"479,945","479,945",-,-,-,-,-,-,-,"31,978","31,978",-,-,"145,141","-39,972","850,034","145,003",-,-,-,"453,067","453,067","453,067",-,-,-,-,-,-,-,"251,964",-,-,-,-,"468,918","173,949",-,"286,975","294,969","294,969","294,969",-,"7,994","286,975",0.24,0.23,"1,186,433","1,221,324","662,026","294,969","294,969",-,-,"294,969",-,-,0,0
105,4/30/1997,"1,248,115","683,049","1,887,043",-,-,-,-,-,"1,203,993",-,-,-,"565,066",-,"181,932","181,932",-,-,-,-,-,-,-,"103,044","103,044",-,-,"280,089","-39,933","820,022","139,067",-,-,-,"426,976","426,976","426,976",-,-,-,-,-,-,-,"253,979",-,-,-,-,"388,020","148,003",-,"170,064","240,017","240,017","240,017",-,"69,953","170,064",0.20,0.19,"869,094","901,289","643,116","240,017","240,017",-,-,"240,017",-,-,0,0
106,1/31/1997,"1,225,906","685,942","1,849,980",-,-,-,-,-,"1,164,038",-,-,-,"539,965",-,"145,977","145,977",-,-,-,-,-,-,-,"24,936","24,936",-,-,"369,052","-40,032","758,054","136,946",-,-,-,"417,981","417,981","417,981",-,-,-,-,-,-,-,"203,127",-,-,-,-,"428,090","164,038",-,"256,099","264,052","264,052","264,052",-,"7,953","256,099",0.22,0.21,"1,187,321","1,225,619","645,909","264,052","264,052",-,-,"264,052",-,-,0,0
107,10/31/1996,"1,124,120","652,055","1,858,969",-,-,-,-,-,"1,206,914",-,-,-,"472,065",-,"145,078","145,078",-,-,-,-,-,-,-,"27,979","27,979",-,-,"299,007","-24,036","720,977","132,065",-,-,-,"412,051","412,051","412,051",-,-,-,-,-,-,-,"176,861",-,-,-,-,"379,114","130,106",-,"241,083","249,008","249,008","249,008",-,"7,925","241,083",-,-,-,-,"628,019","249,008","249,008",-,-,"249,008",-,-,0,0
108,7/31/1996,"1,046,173","623,059","1,851,038",-,-,-,-,-,"1,227,979",-,-,-,"423,114",-,"143,053","143,053",-,-,-,-,-,-,-,"28,995","28,995",-,-,"251,065","-43,012","667,995","129,999",-,-,-,"357,977","357,977","357,977",-,-,-,-,-,-,-,"180,019",-,-,-,-,"335,028","111,997",-,"215,061","223,031","223,031","223,031",-,"7,970","215,061",0.18,0.18,"1,162,162","1,194,444","580,047","223,031","223,031",-,-,"223,031",-,-,0,0
109,4/30/1996,"1,028,046","602,995","1,777,944",-,-,-,-,-,"1,174,949",-,-,-,"425,051",-,"144,997","144,997",-,-,-,-,-,-,-,"25,051","25,051",-,-,"255,003","-41,933","641,116","127,025",-,-,-,"338,053","338,053","338,053",-,-,-,-,-,-,-,"176,038",-,-,-,-,"344,997","124,983",-,"212,117","220,014","220,014","220,014",-,"7,897","212,117",0.17,0.17,"1,211,429","1,211,429","561,062","220,014","220,014",-,-,"220,014",-,-,0,0
110,1/31/1996,"1,018,004","626,993","1,872,045",-,-,-,-,-,"1,245,052",-,-,-,"391,012",-,"138,950","138,950",-,-,-,-,-,-,-,"21,028","21,028",-,-,"231,034","-43,018","623,969","130,979",-,-,-,"344,008","344,008","344,008",-,-,-,-,-,-,-,"148,983",-,-,-,-,"351,017","129,054",-,"213,991","221,963","221,963","221,963",-,"7,971","213,991",0.18,0.17,"1,188,889","1,222,857","583,975","221,963","221,963",-,-,"221,963",-,-,0,0
111,10/31/1995,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"147,341","185,221","185,221","185,221",-,-,"147,341",-,-,-,-,-,"185,221","185,221",-,-,"185,221",-,-,0,0
112,7/31/1995,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"201,722","201,722","201,722","201,722",-,-,"201,722",0.18,0.17,"1,194,444","1,228,571",-,"201,722","201,722",-,-,"201,722",-,-,0,0
113,4/30/1995,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"200,136","200,136","200,136","200,136",-,-,"200,136",0.13,0.13,"1,184,615","1,184,615",-,"200,136","200,136",-,-,"200,136",-,-,0,0
114,1/31/1995,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"207,741","207,741","207,741","207,741",-,-,"207,741",0.14,0.14,"1,214,286","1,214,286",-,"207,741","207,741",-,-,"207,741",-,-,0,0
