,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Restricted Cash And Investments,Restricted Cash & Cash Equivalents,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Defined Pension Benefit,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Depositsby Bank,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Due to Related Parties,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Current Capital Lease Obligation,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Capital Lease Obligation,Long Term Provisions,Employee Benefits,Non Current Pension And Other Post-Retirement Benefit Plans,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Liabilities of Discontinued Operations,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number
10,6/30/2020,"828,480,000","238,145,000","133,255,000","132,070,000",-,"1,185,000","43,035,000","556,000","42,479,000","104,890,000","104,890,000",-,"16,000","84,000","1,067,000","133,303,000","130,896,000","2,161,000","95,000","246,000","2,874,000","26,007,000","294,312,000","296,093,000",-,"82,969,000","53,961,000","139,117,000","20,046,000","1,669,000","-112,000","48,780,000","48,780,000","44,287,000","658,000","7,650,000","7,650,000",-,-,-,-,"7,650,000",-,"4,949,000","4,676,000","273,000","4,020,000","4,020,000","3,011,000","7,460,000","57,295,000","781,629,000","407,013,000","407,013,000","18,018,000","388,995,000",-,"30,589,000","37,475,000","37,475,000","36,902,000","573,000","573,000",-,"27,386,000","27,386,000","27,386,000","2,911,000","28,606,000","15,449,000","172,337,000","169,426,000","2,911,000","1,329,000","436,000","436,000","646,000","646,000",-,"60,363,000","46,851,000","46,535,000","102,000","102,000","32,808,000","34,320,000","1,391,000","-19,304,000",-,"316,000","215,961,000","46,535,000","2,911,000","41,586,000","243,347,000","41,586,000","199,723,000","63,557,000","2,700,333","2,579,461","120,872"
11,3/31/2020,"832,166,000","227,960,000","120,084,000","119,172,000",-,"912,000","29,730,000","1,075,000","28,655,000","107,876,000","107,876,000",-,"14,000",-,"1,086,000","124,193,000","121,340,000","2,575,000","96,000","278,000","2,994,000","29,656,000","302,674,000","304,217,000",-,"99,057,000","45,022,000","139,190,000","20,948,000","1,431,000","-112,000","68,068,000","68,068,000","62,893,000","643,000","7,730,000","7,730,000",-,-,-,-,"7,730,000",-,"4,883,000","4,604,000","279,000","4,157,000","4,157,000","2,928,000","9,886,000","46,380,000","783,393,000","415,299,000","415,299,000","25,394,000","389,905,000",-,"45,451,000","50,329,000","50,329,000","49,708,000","621,000","621,000",-,"27,929,000","27,929,000","27,929,000","3,023,000","24,239,000","20,678,000","147,946,000","144,923,000","3,023,000","1,256,000","443,000","443,000","977,000","977,000",-,"48,846,000","48,773,000","48,675,000","102,000","102,000","31,816,000","34,891,000","1,882,000","-16,252,000",-,"98,000","193,598,000","48,675,000","3,023,000","43,792,000","221,527,000","43,792,000","175,875,000","52,768,000","2,700,333","2,534,473","165,861"
12,12/31/2019,"787,295,000","209,617,000","102,620,000","101,879,000",-,"741,000","40,647,000","428,000","40,219,000","106,997,000","106,997,000",-,"24,000",-,"1,052,000","139,220,000","136,066,000","2,986,000",-,"168,000","2,367,000","17,914,000","296,779,000","297,841,000",-,"89,910,000","48,765,000","138,799,000","20,367,000","946,000","-116,000","40,336,000","40,336,000","35,648,000","431,000","7,832,000","14,985,000","294,000","1,436,000","6,478,000","1,855,000","4,922,000","-7,153,000","4,954,000","4,663,000","291,000","4,399,000","4,399,000","2,878,000","8,971,000","51,573,000","743,581,000","400,527,000","400,527,000","16,744,000","383,783,000",-,"27,533,000","31,462,000","31,462,000","30,784,000","678,000","678,000",-,"28,385,000","28,385,000","28,385,000","3,213,000","24,714,000","13,520,000","155,218,000","152,005,000","3,213,000","1,179,000","455,000","455,000","523,000","523,000",-,"60,065,000","43,714,000","43,644,000","102,000","102,000","30,634,000","34,661,000","1,484,000","-20,269,000",-,"70,000","195,649,000","43,644,000","3,213,000","38,690,000","224,034,000","38,690,000","183,603,000","77,770,000","2,700,333","2,573,809","126,524"
13,9/30/2019,"795,920,000","209,244,000","96,520,000","95,743,000",-,"777,000","39,165,000","488,000","38,677,000","112,724,000","112,724,000",-,"13,000",-,"1,165,000","138,630,000","135,919,000","2,363,000",-,"348,000","2,393,000","21,910,000","298,470,000","299,516,000",-,"92,579,000","49,603,000","137,624,000","19,710,000","924,000","-122,000","44,262,000","44,262,000","39,284,000","467,000","7,805,000","15,126,000","335,000","1,586,000","6,559,000","1,885,000","4,761,000","-7,321,000","4,979,000","4,760,000","219,000","4,593,000","4,593,000","3,142,000","9,047,000","50,965,000","750,616,000","394,947,000","394,947,000","20,075,000","374,872,000",-,"23,924,000","39,702,000","39,702,000","38,936,000","766,000","766,000",-,"26,151,000","26,151,000","26,151,000","3,055,000","28,769,000","15,169,000","162,170,000","159,115,000","3,055,000","905,000","394,000","394,000","625,000","625,000",-,"57,860,000","45,304,000","45,150,000","102,000","102,000","29,782,000","34,427,000","999,000","-18,162,000",-,"154,000","204,265,000","45,150,000","3,055,000","40,171,000","230,416,000","40,171,000","188,321,000","88,746,000","2,700,321","2,613,480","86,841"
14,6/30/2019,"784,216,000","206,864,000","93,398,000","92,489,000",-,"909,000","51,484,000","6,106,000","45,378,000","113,466,000","113,466,000",-,"3,000",-,"1,155,000","128,810,000","126,052,000","2,012,000",-,"746,000","2,392,000","19,660,000","293,797,000","294,788,000",-,"91,797,000","49,282,000","136,776,000","16,933,000","882,000","-109,000","46,894,000","46,894,000","41,654,000","445,000","7,737,000","14,793,000","335,000","1,582,000","6,260,000","1,852,000","4,764,000","-7,056,000","4,947,000","4,731,000","216,000","4,787,000","4,787,000","2,880,000","7,005,000","57,995,000","740,288,000","382,800,000","382,800,000","18,498,000","364,302,000",-,"19,582,000","41,795,000","41,795,000","40,665,000","1,130,000","1,130,000",-,"26,139,000","26,139,000","26,139,000","3,143,000","28,521,000","14,846,000","161,098,000","157,955,000","3,143,000","871,000","510,000","510,000","644,000","644,000",-,"63,482,000","43,928,000","43,673,000","102,000","102,000","28,901,000","34,219,000","603,000","-18,946,000",-,"255,000","201,628,000","43,673,000","3,143,000","38,726,000","227,767,000","38,726,000","187,237,000","90,696,000","2,700,321","2,649,399","50,922"
15,3/31/2019,"793,636,000","211,876,000","95,725,000","94,762,000",-,"963,000","49,864,000","392,000","49,472,000","116,151,000","116,151,000",-,-,-,"1,159,000","129,417,000","126,569,000","1,132,000",-,"1,716,000","2,469,000","18,439,000","292,970,000","294,049,000",-,"92,332,000","47,663,000","135,566,000","18,488,000","966,000","-113,000","47,639,000","47,639,000","42,309,000","485,000","8,079,000","15,027,000","344,000","1,601,000","6,115,000","1,910,000","5,057,000","-6,948,000","5,031,000","4,807,000","224,000","4,920,000","4,920,000","1,973,000","8,371,000","61,967,000","749,705,000","385,927,000","385,927,000","18,780,000","367,147,000",-,"20,617,000","43,994,000","43,994,000","43,068,000","926,000","926,000",-,"26,557,000","26,557,000","26,557,000","3,468,000","25,195,000","14,341,000","163,729,000","160,261,000","3,468,000","1,026,000","518,000","518,000","456,000","456,000",-,"67,345,000","43,931,000","43,825,000","102,000","102,000","27,964,000","35,212,000","580,000","-18,873,000",-,"106,000","204,086,000","43,825,000","3,468,000","38,794,000","230,643,000","38,794,000","190,286,000","91,093,000","2,700,321","2,649,399","50,922"
16,12/31/2018,"772,069,000","217,483,000","100,388,000","99,314,000",-,"1,074,000","41,696,000","465,000","41,696,000","117,095,000","117,095,000",-,"3,000",-,"1,137,000","140,160,000","132,427,000","4,824,000",-,"2,909,000","2,467,000","18,345,000","292,875,000","292,875,000",-,"89,591,000","45,939,000","134,572,000","18,494,000","902,000","-113,000","38,907,000","38,907,000","38,907,000","613,000","4,530,000","4,530,000","347,000","1,617,000","5,909,000","1,880,000","4,530,000","-6,720,000","4,275,000","4,056,000","219,000","4,943,000","4,943,000","1,794,000","6,744,000","73,839,000","726,042,000","380,483,000","380,483,000","15,220,000","365,263,000",-,"24,623,000","30,923,000","30,923,000","30,923,000","927,000","927,000",-,"22,419,000","22,419,000","22,419,000",-,"42,171,000","15,231,000","153,433,000","153,433,000",-,"928,000","518,000","518,000","438,000","438,000",-,"71,990,000","46,027,000","45,329,000","102,000","102,000","26,973,000","34,889,000","61,000","-17,981,000",-,"698,000","198,762,000","45,329,000",-,"41,054,000","221,181,000","41,054,000","175,852,000","75,464,000","2,700,304","2,694,599","5,705"
17,9/30/2018,"768,544,000","213,191,000","96,181,000","94,945,000",-,"1,236,000","47,010,000","338,000","47,010,000","117,010,000","117,010,000",-,-,-,"1,211,000","135,030,000","127,182,000","5,011,000",-,"2,837,000","2,487,000","18,211,000","284,511,000","284,511,000",-,"88,153,000","46,485,000","133,502,000","17,410,000","912,000","-127,000","48,282,000","53,020,000","48,282,000","622,000","4,825,000","4,825,000",-,-,-,-,"4,825,000",-,"4,950,000","4,736,000","214,000","5,115,000","5,115,000","2,605,000","6,055,000","77,755,000","725,610,000","366,543,000","366,543,000","16,725,000","349,818,000",-,"18,442,000","39,904,000","39,904,000","39,904,000","740,000","740,000",-,"17,488,000","17,488,000","17,488,000",-,"43,328,000","14,729,000","164,087,000","164,087,000",-,"919,000","540,000","540,000","568,000","568,000",-,"75,818,000","42,934,000","42,734,000","102,000","102,000","26,714,000","34,785,000","59,000","-18,808,000",-,"200,000","206,821,000","42,734,000",-,"37,784,000","224,309,000","37,784,000","181,575,000","85,394,000","2,556,012","2,552,368","3,644"
18,6/30/2018,"798,158,000","231,152,000","113,535,000","112,513,000",-,"1,022,000","46,431,000","909,000","45,522,000","117,617,000","117,617,000",-,-,-,"1,271,000","119,546,000","116,022,000","2,846,000",-,"678,000","2,989,000","19,601,000","287,660,000","288,680,000",-,"90,677,000","48,193,000","132,865,000","16,945,000","905,000","-115,000","50,292,000","50,292,000","45,132,000","606,000","4,831,000","4,831,000",-,-,-,-,"4,831,000",-,"5,009,000","4,797,000","212,000","5,191,000","5,191,000","2,504,000","8,039,000","60,738,000","754,549,000","384,867,000","384,867,000","17,459,000","367,408,000",-,"19,886,000","40,860,000","40,860,000","40,194,000","666,000","666,000",-,"30,573,000","30,573,000","30,573,000",-,"27,594,000","15,184,000","165,961,000","165,961,000",-,"1,013,000","546,000","546,000","567,000","567,000",-,"67,498,000","43,609,000","43,470,000","102,000","102,000","26,290,000","34,678,000","96,000","-17,504,000",-,"139,000","209,431,000","43,470,000",-,"38,461,000","240,004,000","38,461,000","196,534,000","82,999,000","2,700,333","2,694,028","6,305"
19,3/31/2018,"809,052,000","240,064,000","118,894,000","118,164,000",-,"730,000","41,737,000","510,000","41,227,000","121,170,000","121,170,000",-,-,-,"1,270,000","123,039,000","119,801,000","2,553,000",-,"685,000","2,938,000","20,433,000","283,854,000","284,829,000",-,"87,291,000","48,280,000","132,793,000","16,465,000","858,000","-117,000","57,485,000","57,485,000","52,739,000","478,000","4,677,000","4,677,000",-,-,-,-,"4,677,000",-,"4,879,000","4,667,000","212,000","5,228,000","5,228,000","2,389,000","8,790,000","54,798,000","766,355,000","387,240,000","387,240,000","18,858,000","368,382,000",-,"27,579,000","43,866,000","43,866,000","43,146,000","720,000","720,000",-,"31,872,000","31,872,000","31,872,000",-,"29,820,000","14,951,000","166,166,000","166,166,000",-,"983,000","543,000","543,000","461,000","461,000",-,"62,874,000","42,697,000","42,540,000","102,000","102,000","25,643,000","35,933,000","287,000","-18,851,000",-,"157,000","208,706,000","42,540,000",-,"37,661,000","240,578,000","37,661,000","198,038,000","79,144,000","2,700,333","2,682,994","17,340"
20,12/31/2017,"796,289,000","225,887,000","110,541,000","109,815,000",-,"726,000","38,564,000","490,000","38,074,000","115,346,000","115,346,000",-,"41,000",-,"1,374,000","140,196,000","136,713,000","2,616,000",-,"867,000","3,066,000","19,671,000","279,149,000","280,137,000",-,"85,544,000","46,258,000","132,638,000","15,697,000","882,000","-106,000","51,637,000","51,637,000","46,968,000","379,000","4,686,000","12,487,000","346,000","2,163,000","5,727,000","2,102,000","2,149,000","-7,801,000","4,965,000","4,742,000","223,000","5,522,000","5,522,000","2,170,000","8,300,000","50,620,000","754,100,000","376,575,000","376,575,000","15,413,000","361,162,000",-,"26,496,000","49,594,000","49,594,000","48,894,000","700,000","700,000",-,"25,889,000","25,889,000","25,889,000",-,"24,465,000","14,753,000","173,032,000","173,032,000",-,"1,007,000","541,000","541,000","394,000","394,000",-,"61,354,000","42,189,000","41,902,000","102,000","102,000","24,973,000","35,668,000","103,000","-18,738,000",-,"287,000","214,934,000","41,902,000",-,"36,937,000","240,823,000","36,937,000","198,921,000","88,380,000","2,700,333","2,694,251","6,083"
21,9/30/2017,"788,690,000","246,504,000","106,463,000","105,779,000",-,"684,000","37,749,000","1,848,000","35,901,000","140,041,000","140,041,000",-,-,-,-,"130,393,000","121,516,000","7,954,000",-,"923,000",-,"20,907,000","275,853,000","276,882,000",-,"84,019,000","45,723,000","132,311,000","14,829,000","922,000","-107,000","40,057,000","40,057,000","35,525,000","450,000","4,591,000","4,591,000",-,-,-,-,"4,591,000",-,"4,934,000","4,715,000","219,000","7,503,000","7,503,000","1,591,000","7,210,000","48,697,000","744,609,000","371,883,000","371,883,000","17,497,000","354,386,000",-,"33,146,000","38,239,000","38,239,000","37,637,000","602,000","602,000",-,"16,227,000","16,227,000","16,227,000",-,"29,285,000","14,638,000","180,294,000","180,294,000",-,"980,000","529,000","529,000","271,000","271,000",-,"59,117,000","44,081,000","43,858,000","102,000","102,000","27,099,000","35,527,000","17,000","-18,853,000",-,"223,000","224,152,000","43,858,000",-,"38,924,000","240,379,000","38,924,000","196,521,000","90,058,000","2,699,330","2,699,330",-
22,6/30/2017,"783,411,000","240,320,000","110,973,000","110,332,000",-,"641,000","34,258,000","873,000","33,385,000","129,347,000","129,347,000",-,-,-,-,"128,963,000","120,049,000","8,079,000",-,"835,000",-,"21,044,000","273,865,000","274,895,000",-,"84,441,000","44,302,000","131,577,000","14,575,000","917,000","-113,000","44,856,000","44,856,000","40,279,000","464,000","4,525,000","4,525,000",-,-,-,-,"4,525,000",-,"4,868,000","4,673,000","195,000","7,542,000","7,542,000","1,412,000","9,920,000","45,632,000","739,575,000","374,328,000","374,328,000","17,654,000","356,674,000",-,"30,711,000","39,619,000","39,619,000","39,093,000","526,000","526,000",-,"17,237,000","17,237,000","17,237,000",-,"26,917,000","16,620,000","176,700,000","176,700,000",-,"954,000","501,000","501,000","231,000","231,000",-,"55,757,000","43,836,000","43,493,000","102,000","102,000","26,855,000","35,465,000","40,000","-18,889,000",-,"343,000","220,193,000","43,493,000",-,"38,625,000","237,430,000","38,625,000","193,937,000","82,964,000","2,700,333","2,697,436","2,897"
23,3/31/2017,"811,979,000","240,900,000","102,922,000","101,856,000",-,"1,066,000","39,443,000","1,821,000","37,622,000","137,978,000","137,978,000",-,-,-,-,"147,342,000","137,716,000","8,724,000",-,"902,000",-,"22,128,000","276,370,000","277,378,000",-,"86,942,000","43,469,000","130,906,000","16,061,000","899,000","-109,000","46,541,000","46,541,000","41,700,000","499,000","4,667,000","4,667,000",-,-,-,-,"4,667,000",-,"5,033,000","4,831,000","202,000","7,825,000","7,825,000","1,265,000","7,565,000","51,844,000","769,900,000","372,912,000","372,912,000","20,820,000","352,092,000",-,"38,113,000","47,238,000","47,238,000","46,654,000","584,000","584,000",-,"13,784,000","13,784,000","13,784,000",-,"30,532,000","17,170,000","187,321,000","187,321,000",-,"1,381,000","512,000","512,000","176,000","176,000",-,"60,761,000","42,079,000","41,702,000","84,000","84,000","26,552,000","32,388,000","99,000","-17,223,000",-,"377,000","229,023,000","41,702,000",-,"36,669,000","242,807,000","36,669,000","201,105,000","98,183,000","2,288,169","2,281,262","6,907"
24,12/31/2016,"819,833,000","256,772,000","121,933,000","121,161,000",-,"772,000","32,564,000","1,237,000","32,564,000","134,839,000","134,839,000",-,"29,000",-,"1,657,000","174,416,000","165,150,000","6,777,000",-,"2,489,000","3,121,000","26,930,000","275,976,000","275,976,000",-,"88,013,000","40,758,000","130,351,000","17,921,000","938,000","-129,000","33,431,000","33,431,000","33,431,000","394,000","4,711,000","4,711,000","328,000","2,197,000","6,676,000","2,164,000","4,711,000","-8,773,000","5,126,000","4,913,000","213,000","5,828,000","5,828,000","1,061,000","8,214,000","69,401,000","777,250,000","378,633,000","378,633,000","22,800,000","355,833,000",-,"33,016,000","39,852,000","39,852,000","39,852,000","636,000","636,000",-,"15,385,000","15,385,000","15,385,000",-,"44,930,000","20,367,000","193,315,000","193,315,000",-,"4,077,000","516,000","516,000","129,000","129,000",-,"72,119,000","42,583,000","42,169,000","84,000","84,000","26,226,000","32,131,000",0,"-16,272,000",-,"414,000","235,484,000","42,169,000",-,"37,043,000","250,869,000","37,043,000","208,700,000","86,767,000","2,288,169","2,288,169",-
25,9/30/2016,"806,711,000","220,592,000","105,799,000","104,972,000",-,"827,000","28,618,000","911,000","27,707,000","114,793,000","114,793,000",-,-,-,-,"165,707,000","157,318,000","7,937,000",-,"452,000",-,"26,736,000","274,606,000","275,620,000",-,"85,730,000","41,481,000","130,259,000","18,150,000","866,000","-148,000","43,979,000","43,979,000","39,392,000","454,000","4,640,000","4,640,000",-,-,-,-,"4,640,000",-,"4,917,000","4,725,000","192,000","6,485,000","6,485,000",-,"14,646,000","43,949,000","761,954,000","367,112,000","367,112,000","21,964,000","345,148,000",-,"32,261,000","50,820,000","50,820,000","49,961,000","859,000","859,000",-,"11,600,000","11,600,000","11,600,000",-,"24,808,000","23,267,000","195,455,000","195,455,000",-,"1,780,000",-,-,"50,000","50,000",-,"54,801,000","44,757,000","44,276,000","84,000","84,000","28,573,000","31,925,000","18,000","-16,288,000",-,"481,000","239,731,000","44,276,000",-,"39,359,000","251,331,000","39,359,000","207,055,000","101,256,000","2,288,172","2,286,420","1,752"
26,6/30/2016,"821,164,000","236,937,000","114,869,000","114,049,000",-,"820,000","26,980,000","987,000","25,993,000","122,068,000","122,068,000",-,-,-,-,"156,891,000","148,131,000","8,288,000",-,"472,000",-,"29,656,000","273,835,000","274,846,000",-,"85,168,000","40,142,000","130,612,000","18,924,000","863,000","-148,000","47,478,000","47,478,000","42,108,000","528,000","4,693,000","4,693,000",-,-,-,-,"4,693,000",-,"4,936,000","4,745,000","191,000","6,319,000","6,319,000",-,"12,972,000","46,919,000","775,835,000","370,788,000","370,788,000","23,229,000","347,559,000",-,"32,499,000","53,346,000","53,346,000","52,589,000","757,000","757,000",-,"11,178,000","11,178,000","11,178,000",-,"51,682,000","303,000","200,226,000","200,226,000",-,"1,532,000",-,-,"48,000","48,000",-,"54,233,000","45,329,000","44,962,000","84,000","84,000","28,532,000","31,702,000","94,000","-15,262,000",-,"367,000","245,188,000","44,962,000",-,"40,026,000","256,366,000","40,026,000","211,404,000","96,535,000","2,288,169","2,278,826","9,343"
27,3/31/2016,"813,898,000","231,289,000","95,078,000","94,210,000",-,"868,000","26,172,000","412,000","25,760,000","136,211,000","136,211,000",-,-,-,-,"167,195,000","157,758,000","9,004,000",-,"433,000",-,"30,086,000","270,248,000","271,370,000",-,"81,667,000","38,643,000","130,388,000","20,672,000","962,000","-160,000","40,700,000","40,700,000","35,504,000","520,000","4,609,000","4,609,000",-,-,-,-,"4,609,000",-,"4,874,000","4,688,000","186,000","6,341,000","6,341,000",-,"13,187,000","44,849,000","768,451,000","368,506,000","368,506,000","23,961,000","344,545,000",-,"40,150,000","50,642,000","50,642,000","49,801,000","841,000","841,000",-,"14,768,000","14,768,000","14,768,000",-,"53,582,000","235,000","183,490,000","183,490,000",-,"1,644,000",-,-,"50,000","50,000",-,"55,384,000","45,447,000","44,997,000","78,000","78,000","28,362,000","32,318,000","158,000","-15,603,000",-,"450,000","228,487,000","44,997,000",-,"40,123,000","243,255,000","40,123,000","198,258,000","103,180,000","2,143,078","2,131,101","11,978"
28,12/31/2015,"820,805,000","216,244,000","93,195,000","92,328,000",-,"867,000","28,511,000","327,000","28,511,000","123,049,000","123,049,000",-,-,-,"1,733,000","200,848,000","190,737,000","7,021,000",-,"3,090,000","2,876,000","28,551,000","272,995,000","272,995,000",-,"81,345,000","41,712,000","129,615,000","21,334,000","866,000","-145,000","34,542,000","34,542,000","34,542,000","448,000","4,644,000","4,644,000","417,000","2,326,000","5,908,000","2,064,000","4,644,000","-8,106,000","5,004,000","4,808,000","196,000","6,179,000","6,179,000",-,"26,061,000","86,528,000","775,787,000","363,759,000","363,759,000","21,054,000","342,705,000",-,"46,598,000","39,452,000","39,452,000","39,452,000","608,000","608,000",-,"8,657,000","8,657,000","8,657,000",-,"48,971,000","110,000","197,608,000","197,608,000",-,"1,851,000",-,-,"54,000","54,000",-,"70,742,000","45,018,000","44,382,000","78,000","78,000","29,139,000","31,925,000","125,000","-16,635,000",-,"636,000","241,990,000","44,382,000",-,"39,378,000","250,647,000","39,378,000","206,265,000","113,070,000","2,143,067","2,136,607","6,460"
