,Breakdown,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Cash Flow from Discontinued Operation,Other Cash Adjustment Inside Change in Cash,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
34,3/31/2014,"-12,436,000","-8,850,000","18,288,000","-229,000",-,"65,972,000","369,000","2,649,000","-200,000","1,899,000","14,689,000","-12,079,000","-2,025,000","-12,636,000"
35,12/31/2013,"-2,646,000","-3,925,000","7,290,000","-1,022,000",-,"68,692,000","185,000","2,416,000","-216,000","2,859,000","6,642,000","-4,198,000","-2,904,000","-2,862,000"
36,9/30/2013,"10,106,000","3,824,000","820,000",-,-,"69,600,000","173,000","2,864,000","-247,000","1,825,000","15,189,000","-17,315,000","-1,819,000","9,859,000"
37,6/30/2013,"20,900,000","6,789,000","-28,267,000",-,-,"56,584,000","220,000","3,293,000","-198,000","3,402,000","9,297,000","-17,063,000","-3,176,000","20,702,000"
38,3/31/2013,"-6,286,000","4,831,000","-4,264,000","-96,000",-,"57,242,000","255,000","3,303,000","-242,000","2,654,000","7,962,000","-16,559,000","-2,303,000","-6,528,000"
39,12/31/2012,"19,390,000","16,664,000","-60,208,000",0,-,"61,763,000",-,-,"-315,000","2,393,000","7,642,000","-9,864,000","-2,375,000","19,075,000"
40,9/30/2012,"-21,642,000","19,453,000","-9,942,000",0,-,"86,977,000",-,-,"-257,000","2,794,000","18,910,000","-17,652,000","-2,622,000","-21,899,000"
41,6/30/2012,"19,531,000","-29,316,000","17,584,000",-,-,"99,038,000",-,-,"-355,000","3,241,000","-1,632,000","-9,534,000","-2,128,000","19,176,000"
42,3/31/2012,"-29,953,000","36,154,000","-25,294,000",-,-,"89,449,000",-,-,"-315,000","1,857,000","13,485,000","-18,886,000","-1,734,000","-30,268,000"
43,12/31/2011,"25,642,000","6,289,000","-15,255,000","25,000",-,"110,573,000",-,-,"-567,000","2,073,000","4,691,000","-9,574,000","-1,745,000","25,075,000"
44,9/30/2011,"12,455,000","-30,676,000","38,199,000",0,-,"92,376,000",-,-,"-454,000","2,495,000","5,528,000","-8,581,000","-2,373,000","12,001,000"
45,6/30/2011,"-8,443,000","-10,999,000","18,972,000",-,-,"68,073,000",-,-,"-451,000","2,988,000","9,322,000","-7,786,000","-3,292,000","-8,894,000"
46,3/31/2011,"8,976,000","9,414,000","-8,860,000",-,-,"73,360,000",-,-,"-267,000","5,424,000","14,693,000","-11,186,000","-4,380,000","8,709,000"
47,12/31/2010,"10,772,000","1,076,000","8,555,000","-42,000",-,"65,467,000","317,000","3,984,000","-521,000","3,511,000","14,520,000","-13,185,000","-3,943,000","10,251,000"
48,9/30/2010,"-39,261,000","5,377,000","6,869,000",0,-,"49,377,000",-,-,"-404,000","6,319,000","3,762,000","-9,968,000","-6,471,000","-39,665,000"
49,6/30/2010,"5,178,000","-1,846,000","31,237,000",0,-,"77,524,000",-,-,"-392,000","8,657,000","22,088,000","-16,381,000","-9,027,000","4,786,000"
50,3/31/2010,"31,539,000","-26,056,000","-13,633,000",0,-,"44,550,000",-,-,"-372,000","6,271,000","17,540,000","-11,856,000","-7,405,000","31,167,000"
51,12/31/2009,"-10,304,000","15,192,000","-960,000",-,-,"51,857,000","277,000","3,535,000","-473,000","5,466,000","10,362,000","-23,108,000","-6,302,000","-10,777,000"
52,9/30/2009,"9,194,000","3,168,000","-16,083,000",-,-,"48,865,000",-,-,"-420,000","4,418,000","23,068,000","-13,214,000","-4,545,000","8,774,000"
53,6/30/2009,"-13,886,000","4,478,000","-21,493,000",0,-,"55,278,000",-,-,"-264,000","5,041,000","22,119,000","-16,166,000","-5,131,000","-14,150,000"
54,3/31/2009,"810,000","39,233,000","-46,373,000",0,-,"88,039,000",-,-,"-230,000","2,749,000","7,280,000","-19,984,000","-3,041,000","580,000"
55,12/31/2008,"44,099,000","59,135,000","-56,732,000",-,-,"90,035,000",-,-,"-487,000","8,990,000","27,787,000","-20,332,000","-5,758,000","43,612,000"
56,9/30/2008,"45,396,392","-38,616,630","5,348,435",-,-,"46,596,000",-,-,"-386,291",-,"18,281,263","-25,374,065",-,"45,010,101"
57,6/30/2008,"27,978,108","-4,591,887","-20,893,074",-,-,"30,995,839",-,-,"-340,849",-,"28,639,994","-13,223,453",-,"27,637,259"
58,3/31/2008,"12,397,500","-10,101,483","-9,753,361",-,991.8,"27,724,777",-,-,"-258,860",-,"32,929,744","-27,639,482",-,"12,138,640"
59,12/31/2007,"-12,629,089","1,937,883","11,934,669",-,"-1,163","38,459,000",-,-,"-593,098",-,"56,657,562","-10,377,727",-,"-13,222,187"
60,9/30/2007,"-1,281,360","-2,332,490","5,375,306",-,-,"37,824,956",-,-,"-355,924",-,"-14,758,243","-20,159,497",-,"-1,637,285"
61,6/30/2007,"15,595,060","-20,498,253","14,072,983",-,-,"36,557,052",-,-,"-309,330",-,"18,502,141","-17,837,394",-,"15,285,730"
62,3/31/2007,"-59,577,610","-7,590,139","65,752,042",-,"1,215","27,577,749",-,-,"-291,648",-,"20,749,540","-16,931,382",-,"-59,869,258"
63,12/31/2006,"-1,531,160","5,380,518","-12,175,442",-,-,"29,040,000",-,-,"-402,750",-,"16,248,143","-10,767,857",-,"-1,933,910"
64,9/30/2006,"-24,997,977","-10,501,297","32,501,453",-,"3,730","29,854,590",-,-,"-330,772",-,"6,776,949","-9,196,168",-,"-25,328,749"
65,6/30/2006,"-9,297,963","-6,131,551","14,004,261",-,-,"32,936,183",-,-,"-251,238",-,"24,910,007","-13,837,666",-,"-9,549,202"
66,3/31/2006,"-12,717,900","-4,793,670","24,732,728",-,-,"34,801,392",-,-,"-545,239",-,"27,985,902","-17,493,308",-,"-13,263,139"
67,12/31/2005,"1,570,189","-21,543,415","18,542,976",-,23.65,"27,642,513",-,-,"-368,692",-,"20,969,482","-13,714,916",-,"1,201,497"
68,9/30/2005,"1,894,581","-19,961,946","14,933,207",-,"2,575","27,106,029",-,-,"-288,585",-,"12,231,343","-7,660,627",-,"1,605,996"
69,6/30/2005,"-20,675,238","-31,442,635","53,925,338",-,-85.13,"31,319,667",-,-,"-253,300",-,"11,593,318","-7,121,280",-,"-20,928,538"
70,3/31/2005,"-3,816,755","-7,290,229","11,858,135",-,"-1,196","29,184,840",-,-,"-174,631",-,"9,749,411","-7,383,525",-,"-3,991,386"
71,12/31/2004,"-23,328,703","-2,707,016","27,020,174",-,-,"25,612,510",-,-,"-357,075",-,"15,174,826","-8,219,567",-,"-23,685,778"
72,9/30/2004,"-14,502,229","16,292,928","-5,529,493",-,-,"27,638,720",-,-,"-208,444",-,"4,496,431","-141,273",-,"-14,710,672"
