,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Other Customer Services,Fees & Commission Expense,Investment Banking Profit,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income from Tax Loss Carryforward,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
61,3/31/2005,"17,005","57,704","87,528","76,792","76,792","10,736",-,-,"29,824","22,452",-,"-7,372","14,744","-40,699",-,"14,631","14,631","1,019",816,-285,"13,081",-,-,-,-,-,-,"-55,330","1,000","50,136","-7,794","-7,794",-,"29,681","26,469","26,469",-,-,"3,212",-,-,-,-,"28,249",-,-,-,"21,302","7,509","12,592","13,793","10,522","13,793",-,"3,271","1,201","12,592",0.53,0.49,"23,898","25,776","58,704","13,793","13,793",-,-,"13,793",-,-,0,0
62,12/31/2004,"28,136","55,059","82,087",-,-,"-25,140",-,-,"27,028",-,-,-,-,"-26,923",-,-,-,-,-,-,-,-,-,-,-,-,-,"12,434","-9,000","48,961",-,-,-,"17,672","24,456","24,456",-,-,-,-,-,-,-,"11,218",-,-,-,"20,963","7,766","12,108","13,197","36,100","26,284",-,"-22,903","1,089","12,108",-,-,-,-,"46,059","13,197","13,197",-,-,"13,197",-,-,0,0
63,9/30/2004,"13,142","51,945","74,519","65,284","65,284","9,235",-,-,"22,574","15,042",-,"-7,532","15,064","-38,803",-,"12,877","12,877",951,751,-646,"11,821",-,-,-,-,-,-,"-51,680","1,000","43,116","-7,091","-7,091",-,"24,454","22,163","22,163",-,-,"2,291",-,-,-,-,"25,753",-,-,-,"18,701","6,631","10,981","12,070","8,800","12,070",-,"3,270","1,089","10,981",0.47,0.43,"23,401","25,405","52,945","12,070","12,070",-,-,"12,070",-,-,0,0
64,6/30/2004,"11,809","49,139","68,642","59,702","59,702","8,940",-,-,"19,503","12,770",-,"-6,733","13,466","-37,330",-,"13,404","13,404",914,721,-188,"11,957",-,-,-,-,-,-,"-50,734","2,000","39,768","-6,511","-6,511",-,"21,588","19,120","19,120",-,-,"2,468",-,-,-,-,"24,691",-,-,-,"19,282","7,921","10,272","11,361","9,463","11,361",-,"1,898","1,089","10,272",0.45,0.41,"22,977","24,906","51,139","11,361","11,361",-,-,"11,361",-,-,0,0
65,3/31/2004,"13,857","45,911","64,564","56,568","56,568","7,996",-,-,"18,653","13,014",-,"-5,639","11,278","-32,054",-,"13,076","13,076",827,655,21,"11,573",-,-,-,-,-,-,"-45,130","1,000","41,069","-6,469","-6,469",-,"23,749","21,724","21,724",-,-,"2,025",-,-,-,-,"23,789",-,-,-,"16,800","6,929","9,182","9,871","7,972","9,871",-,"1,899",689,"9,182",0.40,0.37,"22,818","24,792","46,911","9,871","9,871",-,-,"9,871",-,-,0,0
66,12/31/2003,"26,002","42,916","63,895",-,-,"-3,979",-,-,"20,979",-,-,-,-,"-16,914",-,-,-,-,-,-,-,-,-,-,-,-,-,"11,390","-13,000","36,877",-,-,-,"13,116","17,469","17,469",-,-,-,-,-,-,-,"3,262",-,-,-,"22,571","9,434","6,654","6,654","17,667","13,137",-,"-11,013",-,"6,654",-,-,-,-,"29,916","6,654","6,654",-,-,"6,654",-,-,0,0
67,9/30/2003,"12,979","42,782","63,940","55,837","55,837","8,103",-,-,"21,158","13,984","5,863","-1,311","2,622","-29,803",-,"10,712","10,712",635,592,-72,"9,557",-,-,-,-,-,-,"-40,515","3,000","40,178","-6,648","-6,648",-,"22,907","21,624","21,624",-,-,"1,283",-,-,-,-,"23,919",-,-,-,"13,613","5,692","7,921","7,921","5,951","7,921",-,"1,970",-,"7,921",0.37,0.34,"21,741","23,697","45,782","7,921","7,921",-,-,"7,921",-,-,0,0
68,6/30/2003,"14,881","41,418","62,218","53,796","53,796","8,422",-,-,"20,800","13,454","5,934","-1,412","2,824","-26,537",-,"8,171","8,171",657,468,-430,"7,476",-,-,-,-,-,-,"-34,708","2,000","37,132","-6,929","-6,929",-,"20,441","18,873","18,873",-,-,"1,568",-,-,-,-,"23,620",-,-,-,"17,873","7,034","10,839","10,839","9,545","10,839",-,"1,294",-,"10,839",0.51,0.47,"21,516","23,162","43,418","10,839","10,839",-,-,"10,839",-,-,0,0
69,3/31/2003,"17,314","37,657","59,930","51,931","51,931","7,999",-,-,"22,273","15,405","5,456","-1,412","2,824","-20,343",-,"9,421","9,421",-,446,-333,"9,308",-,-,-,-,-,-,"-29,764","1,000","34,812","-6,922","-6,922",-,"18,796","17,294","17,294",-,-,"1,502",-,-,-,-,"22,938",-,-,-,"18,893","7,257","11,636","11,636","10,370","11,636",-,"1,266",-,"11,636",0.54,0.51,"21,583","23,040","38,657","11,636","11,636",-,-,"11,636",-,-,0,0
70,12/31/2002,"21,600","181,449","206,103",-,-,"-8,284",-,-,"24,654",-,-,-,-,"-159,849",-,-,-,-,-,-,-,-,-,-,-,-,-,"-135,986","-9,000","34,398",-,-,-,"11,361","16,015","16,015",-,-,-,-,-,-,-,"8,260",-,-,-,"17,251","4,781","7,101","7,101","16,439","7,101",-,"-9,338",-,"7,101",-,-,-,-,"172,449","7,101","7,101",-,-,"7,101",-,-,0,0
71,9/30/2002,"12,769","34,581","61,040","53,203","53,203","7,837",-,-,"26,459","18,560",-,"-7,899","15,798","-21,812",-,"8,004","8,004",-,374,-1,"7,631",-,-,-,-,-,-,"-29,816","1,000","35,321","-5,772","-5,772",-,"18,690","16,780","16,780",-,-,"1,910",-,-,-,-,"22,403",-,-,-,"10,627","4,331","6,296","6,296","4,894","6,296",-,"1,402",-,"6,296",0.29,0.27,"21,878","23,683","35,581","6,296","6,296",-,-,"6,296",-,-,0,0
72,6/30/2002,"9,307","34,327","59,983","52,988","52,988","6,995",-,-,"25,656","18,385",-,"-7,271","14,542","-25,020",-,"9,428","9,428",-,407,225,"8,796",-,-,-,-,-,-,"-34,448",750,"32,698","-4,818","-4,818",-,"18,637","16,808","16,808",-,-,"1,829",-,-,-,-,"18,879",-,-,-,"9,519","3,937","12,748","12,748","11,331","5,582","7,166","1,417",-,"12,748",0.26,0.24,"21,577","23,843","35,077","5,582","5,582",-,-,"5,582",-,-,0,0
73,3/31/2002,"8,124","34,381","60,083","53,672","53,672","6,411",-,-,"25,702","18,632",-,"-7,070","14,140","-26,257",-,"6,431","6,431",-,-,-44,"6,475",-,-,-,-,-,-,"-32,688",750,"29,031","-4,187","-4,187",-,"16,418","15,503","15,503",-,-,915,-,-,-,-,"16,800",-,-,-,"12,324","4,902","7,422","7,422","6,272","7,422",-,"1,150",-,"7,422",0.36,0.33,"20,431","22,212","35,131","7,422","7,422",-,-,"7,422",-,-,0,0
74,12/31/2001,"9,888","34,052","66,691",-,-,"-13,105",-,-,"32,639",-,-,-,-,"-24,164",-,-,-,-,-,-,-,-,-,-,-,-,-,"-6,224","-2,300","28,155",-,-,-,"9,499","13,678","13,678",-,-,-,-,-,-,-,"8,894",-,-,-,"15,705","4,714","7,333","7,333","13,711","7,333",-,"-6,378",-,"7,333",-,-,-,-,"31,752","7,333","7,333",-,-,"7,333",-,-,0,0
75,9/30/2001,"4,793","33,445","70,354","65,748","65,748","4,606",-,-,"36,909","25,983",-,"-10,926","21,852","-28,652",-,"5,088","5,088",-,-,15,"5,073",-,-,-,-,-,-,"-33,740",400,"25,061","-3,470","-3,470",-,"14,122","12,951","12,951",-,-,"1,171",-,-,-,-,"14,409",-,-,-,"12,243","5,732","6,511","6,511","5,577","6,511",-,934,-,"6,511",0.32,0.30,"20,228","21,979","33,845","6,511","6,511",-,-,"6,511",-,-,0,0
76,6/30/2001,"7,140","29,216","71,134","65,397","65,397","5,737",-,-,"41,918","31,114",-,"-10,804","21,608","-22,076",-,"6,185","6,185",-,-,68,"6,117",-,-,-,-,-,-,"-28,261",250,"24,382","-3,177","-3,177",-,"13,765","12,464","12,464",-,-,"1,301",-,-,-,-,"13,794",-,-,-,"11,072","5,211","5,861","5,861","4,959","5,861",-,902,-,"5,861",0.29,0.27,"20,206","21,553","29,466","5,861","5,861",-,-,"5,861",-,-,0,0
77,3/31/2001,"6,579","28,340","72,852","66,410","66,410","6,442",-,-,"44,512","32,525",-,"-11,987","23,974","-21,761",-,"6,667","6,667",-,-,119,"6,548",-,-,-,-,-,-,"-28,428",250,"23,872","-3,115","-3,115",-,"13,870","12,163","12,163",-,-,"1,707",-,-,-,-,"13,117",-,-,-,"10,163","4,806","5,357","5,357","4,473","5,357",-,884,-,"5,357",0.27,0.25,"20,094","21,548","28,590","5,357","5,357",-,-,"5,357",-,-,0,0
78,12/31/2000,"6,819","27,175","74,259","67,686","67,686","6,573",-,-,"47,084","32,071",-,"-15,013","30,026","-20,356",-,"24,223","24,223",-,-,-505,"24,728",-,-,-,-,-,-,"-44,579",250,"22,437","-2,716","-2,716",-,"13,206","12,004","12,004",-,-,"1,202",-,-,-,-,"11,947",-,-,-,"10,672","5,027","5,522","5,522","4,637","5,645",-,885,-,"5,522",-,-,-,-,"27,425","5,645","5,645",-,-,"5,645",-,-,0,0
79,9/30/2000,"6,835","26,032","77,336","71,126","71,126","6,210",-,-,"51,304","30,833",-,"-20,471","40,942","-19,197",-,466,466,-,-,-150,616,-,-,-,-,-,-,"-19,663",250,"21,366","-2,683","-2,683",-,"12,366","11,432","11,432",-,-,934,-,-,-,-,"11,683",-,-,-,"10,617","5,003","5,614","5,614","4,730","5,614",-,884,-,"5,614",0.27,0.27,"20,317","20,760","26,282","5,614","5,614",-,-,"5,614",-,-,0,0
80,6/30/2000,"6,848","23,840","70,411","64,861","64,861","5,550",-,-,"46,571","28,931",-,"-17,640","35,280","-16,992",-,452,452,-,-,-312,764,-,-,-,-,-,-,"-17,444",250,"19,446","-2,438","-2,438",-,"11,153","10,064","10,064",-,-,"1,089",-,-,-,-,"10,731",-,-,-,"10,375","4,890","5,485","5,485","4,618","5,485",-,867,-,"5,485",0.27,0.26,"20,630","20,980","24,090","5,485","5,485",-,-,"5,485",-,-,0,0
81,3/31/2000,"7,293","23,964","67,614","62,343","62,343","5,271",-,-,"43,650","26,811",-,"-16,839","33,678","-16,671",-,814,814,-,-,-,-,-,-,-,-,-,-,"-17,485",250,"19,007","-2,364","-2,364",-,"10,754","9,506","9,506",-,-,"1,248",-,-,-,-,"10,617",-,-,-,"11,348","5,329","6,019","6,019","5,117","6,019",-,902,-,"6,019",0.30,0.29,"20,204","21,003","24,214","6,019","6,019",-,-,"6,019",-,-,0,0
82,12/31/1999,"16,142","21,431","61,713","57,430","57,430","4,283",-,-,"40,282","24,487",-,"-15,795","31,590","-5,289",-,654,654,-,-,-,-,-,-,-,-,-,-,"-5,943",-,"16,274","-2,200","-2,200",-,"9,545","8,558","8,558",-,-,987,-,-,-,-,"8,929",-,-,-,"9,496","4,374","5,122","5,122","4,319","5,122",-,803,-,"5,122",-,-,-,-,"21,431","5,122","5,122",-,-,"5,122",-,-,0,0
83,9/30/1999,"1,400","20,700","57,600","53,600","53,600","4,100",-,-100,"36,900","22,800",-,"-14,100","28,200","-19,300",-,600,600,-,-,-,-,-,-,-,-,-,-,"-19,900",-,"14,900","-1,800","-1,800",-,"8,800","7,800","7,800",-,-,"1,000",-,-,-,-,"7,900",-,-,-,"10,700","5,100","5,600","5,600","4,800","5,600",-,800,-,"5,600",0.27,0.25,"20,990","22,094","20,700","5,600","5,600",-,-,"5,600",-,-,0,0
84,6/30/1999,"1,700","19,700","55,000","50,800","50,800","4,200",-,-,"35,300","21,700",-,"-13,600","27,200","-18,000",-,700,700,-,-,-,-,-,-,-,-,-,-,"-18,700",-,"14,000","-1,800","-1,800",-,"7,700","6,400","6,400",-,-,"1,300",-,-,-,-,"8,100",-,-,-,"10,500","4,700","5,800","5,800","5,500","5,800",-,300,-,"5,800",0.27,0.25,"21,739","22,883","19,700","5,800","5,800",-,-,"5,800",-,-,0,0
85,3/31/1999,"1,300","19,300","53,900","49,300","49,300","4,500",-,100,"34,600","21,200",-,"-13,500","26,900","-18,000",-,700,700,-,-,-,-,-,-,-,-,-,-,"-18,700",-,"13,700","-1,800","-1,800",-,"8,300","6,100","6,100",-,-,"2,200",-,-,-,-,"7,200",-,-,-,"10,000","4,300","5,700","5,700","5,700","5,700",-,-,-,"5,700",0.27,0.25,"21,364","22,489","19,300","5,700","5,700",-,-,"5,700",-,-,0,0
86,12/31/1998,"2,200","16,800","49,900","45,700","45,700","4,100",-,-,"33,100","21,600",-,"-11,500","23,000","-14,600",-,900,900,-,-,-,-,-,-,-,-,-,-,"-15,500",-,"10,000","-1,500","-1,500",-,"5,500","4,400","4,400",-,-,"1,100",-,-,-,-,"6,000",-,-,-,"9,000","3,800","5,200","5,200","5,200","5,200",-,-,-,"5,200",-,-,-,-,"16,800","5,200","5,200",-,-,"5,200",-,-,0,0
87,9/30/1998,"1,800","15,900","48,900","44,700","44,700","4,200",-,-,"33,000","21,100",-,"-11,900","23,800","-14,100",-,700,700,-,-,-,-,-,-,-,-,-,-,"-14,800",-,"8,600","-1,300","-1,300",-,"5,000","4,000","4,000",-,-,"1,000",-,-,-,-,"4,900",-,-,-,"9,100","3,800","5,300","5,300","5,300","5,300",-,-,-,"5,300",0.26,0.24,"20,374","22,072","15,900","5,300","5,300",-,-,"5,300",-,-,0,0
88,6/30/1998,"1,900","16,200","49,000","44,800","44,800","4,200",-,-,"32,800","20,700",-,"-12,000","24,100","-14,300",-,700,700,-,-,-,-,-,-,-,-,-,-,"-15,000",-,"9,700","-1,100","-1,100",-,"4,500","3,900","3,900",-,-,600,-,-,-,-,"6,300",-,-,-,"8,500","3,600","4,900","4,900","4,900","4,900",-,-,-,"4,900",0.24,0.22,"20,406","22,262","16,200","4,900","4,900",-,-,"4,900",-,-,0,0
89,3/31/1998,"1,400","15,500","47,700","43,400","43,400","4,300",-,-,"32,200","20,600",-,"-11,600","23,200","-14,100",-,700,700,-,-,-,-,-,-,-,-,-,-,"-14,800",-,"8,200","-1,000","-1,000",-,"4,500","3,900","3,900",-,-,600,-,-,-,-,"4,700",-,-,-,"8,600","3,600","5,000","5,000","5,000","5,000",-,-,-,"5,000",0.24,0.22,"20,823","22,716","15,500","5,000","5,000",-,-,"5,000",-,-,0,0
90,12/31/1997,"1,300","14,500","47,000","42,000","42,000","4,900",-,-,"32,500","20,700",-,"-11,800","23,600","-13,200",-,"1,200","1,200",-,-,-,-,-,-,-,-,-,-,"-14,400",0,"8,600","-1,000","-1,000",-,"4,200","3,500","3,500",-,-,700,-,-,-,-,"5,400",-,-,-,"7,300","3,100","4,200","4,200","4,200","4,200",-,-,-,"4,200",-,-,-,-,"14,500","4,200","4,200",-,-,"4,200",-,-,0,0
91,9/30/1997,"1,200","14,100","44,700","40,600","40,600","4,100",-,-,"30,600","20,000",-,"-10,600","21,200","-12,900",-,500,500,-,-,-,-,-,-,-,-,-,-,"-13,400",-,"7,300",-900,-900,-,"3,900","3,300","3,300",-,-,600,-,-,-,-,"4,300",-,-,-,"7,900","3,300","4,600","4,600","4,600","4,600",-,-,-,"4,600",0.21,0.21,"22,247","22,247","14,100","4,600","4,600",-,-,"4,600",-,-,0,0
92,6/30/1997,"2,100","13,700","42,800","39,000","39,000","3,800",-,-,"29,100","19,500",-,"-9,600","19,200","-11,600",-,500,500,-,-,-,-,-,-,-,-,-,-,"-12,100",-,"8,400",-900,-900,-,"3,900","3,200","3,200",-,-,700,-,-,-,-,"5,400",-,-,-,"7,500","3,100","4,400","4,400","4,400","4,400",-,-,-,"4,400",0.19,0.19,"23,560","23,560","13,700","4,400","4,400",-,-,"4,400",-,-,0,0
93,3/31/1997,"1,300","13,000","41,500","38,100","38,100","3,400",-,-,"28,500","19,000",-,"-9,500","19,000","-11,700","1,100",500,500,-,-,-,-,-,-,-,-,-,-,"-13,300",500,"7,400",-900,-900,-,"3,700","3,200","3,200",-,-,500,-,-,-,-,"4,600",-,-,-,"6,900","2,900","4,000","4,000","4,000","4,000",-,-,-,"4,000",0.19,0.17,"20,679","23,065","13,500","4,000","4,000",-,-,"4,000",-,-,0,0
94,12/31/1996,700,"12,000","41,300","37,800","37,800","3,600",-,-,"29,300","19,100",-,"-10,200","20,400","-11,300",-,"2,000","2,000",-,-,-,-,-,-,-,-,-,-,"-13,300",700,"6,700",-800,-800,-,"3,800","3,300","3,300",-,-,500,-,-,-,-,"3,700",-,-,-,"6,000","2,500","3,500","3,500","3,500","3,500",-,-,-,"3,500",-,-,-,-,"12,700","3,500","3,500",-,-,"3,500",-,-,0,0
95,9/30/1996,0,"11,700","40,400","36,700","36,700","3,700",-,-,"28,700","18,300",-,"-10,400","20,800","-11,700",-,500,500,-,-,-,-,-,-,-,-,-,-,"-12,200","1,500","6,100",-800,-800,-,"2,900","2,300","2,300",-,-,600,-,-,-,-,"4,000",-,-,-,"5,600","2,300","3,300","3,300","3,300","3,300",-,-,-,"3,300",0.19,0.17,"17,060","19,790","13,200","3,300","3,300",-,-,"3,300",-,-,0,0
96,6/30/1996,-900,"11,800","39,300","35,800","35,800","3,500",-,-,"27,500","17,400",-,"-10,100","20,200","-12,700",-,500,500,-,-,-,-,-,-,-,-,-,-,"-13,200","1,800","5,900",-800,-800,-,"2,800","2,300","2,300",-,-,500,-,-,-,-,"3,900",-,-,-,"5,000","2,000","3,000","3,000","3,000","3,000",-,-,-,"3,000",0.17,0.15,"17,299","19,555","13,600","3,000","3,000",-,-,"3,000",-,-,0,0
97,3/31/1996,-500,"11,300","38,700","35,200","35,200","3,500",-,-,"27,400","17,200",-,"-10,200","20,400","-11,800",-,600,600,-,-,-,-,-,-,-,-,-,-,"-12,400","1,800","6,000",-700,-700,-,"2,700","2,200","2,200",-,-,500,-,-,-,-,"4,000",-,-,-,"4,800","2,000","2,800","2,800","2,800","2,800",-,-,-,"2,800",0.16,0.14,"17,491","19,990","13,100","2,800","2,800",-,-,"2,800",-,-,0,0
98,12/31/1995,"-1,100","10,000","37,300","34,100","34,100","3,200",-,-,"27,300","17,100",-,"-10,300","20,500","-11,100",-,"1,900","1,900",-,-,-,-,-,-,-,-,-,-,"-13,000","2,100","6,300",-700,-700,-,"2,400","2,000","2,000",-,-,400,-,-,-,-,"4,600",-,-,-,"2,700","1,100","1,600","1,600","1,600","1,600",-,-,-,"1,600",-,-,-,-,"12,100","1,600","1,600",-,-,"1,600",-,-,0,0
99,9/30/1995,"-1,300","8,900","36,100","32,900","32,900","3,200",-,-,"27,200","16,400",-,"-10,800","21,600","-10,200",-,600,600,-,-,-,-,-,-,-,-,-,-,"-10,800","2,500","5,400",-700,-700,-,"2,200","1,900","1,900",-,-,300,-,-,-,-,"3,900",-,-,-,"2,200",900,"1,300","1,300","1,300","1,300",-,-,-,"1,300",0.07,0.07,"17,718","17,718","11,400","1,300","1,300",-,-,"1,300",-,-,0,0
100,6/30/1995,"-7,700","7,700","34,300","31,400","31,400","2,800",-,100,"26,600","15,300",-,"-11,400","22,700","-15,400",-,"1,200","1,200",700,-,100,400,-,-,-,-,-,-,"-16,600","8,800","5,400",-700,-700,-,"2,000","1,600","1,600",-,-,400,-,-,-,-,"4,100",-,-,-,"-5,300","-2,200","-3,100","-3,100","-3,100","-3,100",-,-,-,"-3,100",-0.18,-0.18,"17,214","17,214","16,500","-3,100","-3,100",-,-,"-3,100",-,-,0,0
101,3/31/1995,-600,"8,200","32,000","28,900","28,900","3,100",-,-,"23,800","13,400",-,"-10,400","20,800","-8,800",-,900,900,-,-,-,-,-,-,-,-,-,-,"-9,700","1,500","5,300",-700,-700,-,"2,300","2,000","2,000",-,-,300,-,-,-,-,"3,700",-,-,-,"2,400","1,000","1,400","1,400","1,400","1,400",-,-,-,"1,400",0.08,0.08,"17,491","17,491","9,700","1,400","1,400",-,-,"1,400",-,-,0,0
102,12/31/1994,"-1,000","8,900","30,100","27,400","27,400","2,600",-,-,"21,200","11,900",-,"-9,300","18,600","-9,900",-,"1,300","1,300",-,-,-,-,-,-,-,-,-,-,"-11,200","2,500","5,500",-700,-700,-,"2,500","2,000","2,000",-,-,500,-,-,-,-,"3,700",-,-,-,"2,400",800,"1,600","1,600","1,600","1,600",-,-,-,"1,600",-,-,-,-,"11,400","1,600","1,600",-,-,"1,600",-,-,0,0
103,9/30/1994,-100,"9,300","28,200","25,700","25,700","2,400",-,100,"18,900","10,700",-,"-8,100","16,300","-9,400",-,"1,000","1,000",-,-,-,-,-,-,-,-,-,-,"-10,400","1,500","4,900",-600,-600,-,"2,000","1,600","1,600",-,-,400,-,-,-,-,"3,500",-,-,-,"4,300","1,700","2,600","2,600","2,600","2,600",-,-,-,"2,600",0.14,0.13,"18,562","20,516","10,800","2,600","2,600",-,-,"2,600",-,-,0,0
104,6/30/1994,0,"9,700","26,200","24,300","24,300","1,900",-,-,"16,500","9,600",-,"-6,900","13,800","-9,700",-,900,900,-,-,-,-,-,-,-,-,-,-,"-10,600",700,"5,300",-600,-600,-,"2,100","1,700","1,700",-,-,400,-,-,-,-,"3,800",-,-,-,"4,400","1,900","2,500","2,500","2,500","2,500",-,-,-,"2,500",0.14,0.13,"17,848","19,727","10,400","2,500","2,500",-,-,"2,500",-,-,0,0
105,3/31/1994,"-3,500","10,100","25,000","23,400","23,400","1,600",-,-,"14,900","8,800",-,"-6,100","12,200","-13,600",-,400,400,-,-,-,-,-,-,-,-,-,-,"-14,000","5,000","5,400",-600,-600,-,"2,500","1,900","1,900",-,-,600,-,-,-,-,"3,500",-,-,-,"1,200",500,700,700,700,700,-,-,-,700,0.03,0.03,"20,990","20,990","15,100",700,700,-,-,700,-,-,0,0
106,12/31/1993,300,"10,600","25,000","23,600","23,600","1,400",-,-,"14,400","8,700",-,"-5,700","11,400","-10,300",-,"2,400","2,400",-,-,-,-,-,-,-,-,-,-,"-12,700","1,200","5,000",-600,-600,-,"1,500","1,100","1,100",-,-,400,-,-,-,-,"4,100",-,-,-,"5,900","2,500","3,400","3,400","3,400","3,400",-,-,-,"3,400",-,-,-,-,"11,800","3,400","3,400",-,-,"3,400",-,-,0,0
107,9/30/1993,700,"10,400","24,700","23,300","23,300","1,400",-,-,"14,300","8,900",-,"-5,400","10,800","-9,700",-,300,300,-,-,-,-,-,-,-,-,-,-,"-10,000","1,000","5,100",-500,-500,-,"1,800","1,500","1,500",-,-,300,-,-,-,-,"3,800",-,-,-,"5,900","2,500","3,400","3,400","3,400","3,400",-,-,-,"3,400",0.19,0.17,"17,577","20,390","11,400","3,400","3,400",-,-,"3,400",-,-,0,0
108,6/30/1993,-100,"10,300","24,400","23,300","23,300","1,100",-,-,"14,100","8,800",-,"-5,200","10,500","-10,400",-,500,500,200,-,-,300,-,-,-,-,-,-,"-10,900","1,300","5,700",-400,-400,-,"3,900","3,600","3,600",-,-,300,-,-,-,-,"2,200",-,-,-,"4,500","1,900","2,600","2,600","2,600","2,600",-,-,-,"2,600",0.15,0.13,"16,948","19,490","11,600","2,600","2,600",-,-,"2,600",-,-,0,0
109,3/31/1993,-300,"10,000","24,200","23,000","23,000","1,200",-,-,"14,200","8,900",-,"-5,300","10,600","-10,300",-,600,600,300,-,-,300,-,-,-,-,-,-,"-10,900","1,300","4,800",-700,-700,-,"2,500","2,500","2,500",-,-,-,-,-,-,-,"3,000",-,-,-,"4,900","2,000","2,900","2,900","2,900","2,900",-,-,-,"2,900",0.17,0.15,"17,391","19,763","11,300","2,900","2,900",-,-,"2,900",-,-,0,0
110,12/31/1992,-800,"9,900","24,700","23,500","23,500","1,200",-,0,"14,800","9,400",-,"-5,300","10,700","-10,700",-,"2,000","2,000",-,-,-,-,-,-,-,-,-,-,"-12,700","1,900","5,000",-500,-500,-,"1,900","1,700","1,700",-,-,200,-,-,-,-,"3,600",-,-,-,"4,000","1,600","2,400","2,400","2,400","2,400",-,-,-,"2,400",-,-,-,-,"11,800","2,400","2,400",-,-,"2,400",-,-,0,0
111,9/30/1992,200,"9,400","24,500","23,700","23,700",800,-,-,"15,100","9,900",-,"-5,200","10,400","-9,200",-,200,200,-,-,-,-,-,-,-,-,-,-,"-9,400","2,200","3,800",-400,-400,-,"1,700","1,400","1,400",-,-,300,-,-,-,-,"2,500",-,-,-,"5,800","2,400","3,400","3,400","3,400","3,400",-,-,-,"3,400",0.20,0.20,"16,992","16,992","11,600","3,400","3,400",-,-,"3,400",-,-,0,0
112,6/30/1992,-900,"9,300","24,100","23,100","23,100",900,-,100,"14,800","10,100",-,"-4,600","9,300","-10,200",-,900,900,-,-,-,-,-,-,-,-,-,-,"-11,100","2,700","2,900",-300,-300,-,"1,100",900,900,-,-,200,-,-,-,-,"2,100",-,-,-,"5,500","2,200","3,300","3,300","3,300","3,300",-,-,-,"3,300",0.19,0.19,"17,670","17,670","12,000","3,300","3,300",-,-,"3,300",-,-,0,0
113,3/31/1992,-600,"8,100","22,400","21,500","21,500",800,-,100,"14,300","10,100",-,"-4,200","8,400","-8,700",-,800,800,-,-,-,-,-,-,-,-,-,-,"-9,500","1,700","2,800",-300,-300,-,"1,400","1,200","1,200",-,-,200,-,-,-,-,"1,700",-,-,-,"4,600","1,900","2,700","2,700","2,700","2,700",-,-,-,"2,700",0.18,0.18,"14,993","14,993","9,800","2,700","2,700",-,-,"2,700",-,-,0,0
114,12/31/1991,-900,"7,900","22,300","21,300","21,300","1,000",-,-,"14,400","10,500",-,"-3,900","7,800","-8,800",-,900,900,-,-,100,-900,-,-,-,-,-,-,"-9,700","1,800","3,200",-400,-400,-,"6,300","5,600","5,600",-,-,700,-,-,-,-,"-2,700",-,-,-,"3,800","1,500","2,200","2,300","2,300","2,300",-,-,100,"2,200",-,-,-,-,"9,700","2,300","2,300",-,-,"2,300",-,-,0,0
115,9/30/1991,-400,"6,800","20,800","19,600","19,600","1,300",-,-100,"14,000","10,600",-,"-3,400","6,800","-7,200",-,700,700,-,-,-,-,-,-,-,-,-,-,"-7,900","1,600","3,100",-300,-300,-,"1,400","1,200","1,200",-,-,200,-,-,-,-,"2,000",-,-,-,"3,300","1,300","1,900","2,000","2,000","2,000",-,-,100,"1,900",0.18,0.17,"10,550","11,394","8,400","2,000","2,000",-,-,"2,000",-,-,0,0
116,6/30/1991,-800,"6,300","19,900","18,400","18,400","1,600",-,-100,"13,600","10,600",-,"-3,000","6,000","-7,100",-,800,800,-,-,-,-,-,-,-,-,-,-,"-7,900","1,900","2,600",-300,-300,-,"1,300","1,100","1,100",-,-,200,-,-,-,-,"1,600",-,-,-,"2,900","1,200","1,600","1,700","1,700","1,700",-,-,100,"1,600",0.19,0.17,"8,567","9,595","8,200","1,700","1,700",-,-,"1,700",-,-,0,0
