,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Investment Securities,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Financing Costs And Discounts,Stock based compensation,Excess Tax Benefit from Stock Based Compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Account Payable,Change in Other Current Assets,Change in Other Current Liabilities,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Net Business Purchase And Sale,Purchase of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
97,6/30/1995,"-5,100","-5,100","-3,200",-,-,-,-,-,-,-,-,-,-,"-1,700",-,-,-,-,-200,-,-,"3,400","3,400","3,400",-,"3,400","-47,200","-47,200",-,"-4,100","-6,700","2,600",-,-,-,-400,-400,-,-,"-42,700","52,700","52,700",-,"1,100",-,-,-,"1,100",-,-,-,-,-,-,-,-,-,-,-500,-,-,400,-,-,-,-400,-,-,-,-,"-5,500"
98,3/31/1995,"3,200","3,200","1,400",-,-,-,-,-,-,-,-,-,-,"3,800",-,-,-,-,"-2,000",-,-,"-1,000","-1,000","-1,000",-,"-1,000","-67,900","-67,900",-,-400,"-3,000","2,600",-,-,-,-400,-400,-,-,"-67,100","55,900","55,900",-,"10,000",-,-,-,"10,000",-,-,-,-,-,-,-,-,-,-,"-4,700",-,-,"-8,800","32,400",-,-,-400,-,-,-,-,"2,800"
99,12/31/1994,"3,600","3,600","1,600",-,-,-,-,-,-,-,-,800,800,"7,800",-,-,-,-,"-6,600","-2,500","-2,500",-800,-800,-800,"-2,500",-800,"-75,800","-75,800",-,"-6,700",-900,"-5,800",-,-,-,-600,-600,-,-,"-68,500","68,600","68,600",-,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,"-118,700",-,-,"-3,700",-,-,-,-600,-,-,-,-,"3,000"
100,9/30/1994,"-6,800","-6,800","2,500",-,-,-,-,-,-,-,-,100,100,"9,200",-,-,-,-,"-18,600","-3,200","-3,200","-6,100","-6,100","-6,100","-3,200","-6,100","-95,800","-95,800",-,"-6,600","-17,600","11,000",-,-,-,-100,-100,-,-,"-89,100","97,900","97,900",-,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,"303,900",-,-,"-4,700",-,-,-,-100,-,-,-,-,"-6,900"
101,6/30/1994,"25,100","25,100","2,500",-,-,-,-,-,-,-,-,"1,000","1,000","5,400",-,-,-,-,"16,200",-200,-200,"8,300","8,300","8,300",-200,"8,300","-65,100","-65,100",-,"-22,600","-25,200","2,600",-,-,-,-300,-300,-,-,"-42,200","48,700","48,700",-,"-35,000",-,-,-,"-35,000",-,-,-,-,-,-,-,-,-,-,"-74,700",-,-,"8,700",-,-,-,-300,-,-,-,-,"24,800"
102,3/31/1994,"-10,400","-10,400",700,-,-,-,-,-,-,-,-,-600,-600,"-1,300",-,-,-,-,"-9,200",-200,-200,"-4,400","-4,400","-4,400",-200,"-4,400","-67,600","-67,600",-,"-2,900","-5,300","2,400",-,-,-,-400,-400,-,-,"-64,300","71,300","71,300",-,"12,600",-,-,-,"12,600",-,-,-,-,-,-,-,-,-,-,"1,200",-,-,"-6,700","38,800",-,-,-400,-,-,-,-,"-10,800"
103,12/31/1993,"1,800","1,800","3,400",-,-,-,-,-,-,-,-,-100,-100,"-6,500",-,-,-,-,"5,000","-1,900","-1,900","4,400","4,400","4,400","-1,900","4,400","-98,200","-98,200",-,"-29,000","-31,300","2,300",-,-,-,-500,-500,-,-,"-68,700","68,100","68,100",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-75,800",-,-,"-28,300",-,-,-,-500,-,-,-,-,"1,300"
104,9/30/1993,"12,400","12,400","3,400",-,-,-,-,-,-,-,-,"1,100","1,100","12,700",-,-,-,-,"-4,800","-2,700","-2,700",300,300,300,"-2,700",300,"-37,400","-37,400",-,"-22,900",-800,"-22,100",-,-,-,-200,-200,-,-,"-14,300","46,900","46,900",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"36,100",-,-,"21,800",-,-,-,-200,-,-,-,-,"12,200"
105,6/30/1993,"2,400","2,400","2,700",-,-,-,-,-,-,-,-,400,400,-300,-,-,-,-,-400,-700,-700,500,500,500,-700,500,"-50,900","-50,900",-,"19,200","-4,600","23,800",-,-,-,-900,-900,-,-,"-69,200","46,900","46,900",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"100,300",-,-,"-1,500",-,-,-,-900,-,-,-,-,"1,500"
106,3/31/1993,"-24,400","-24,400","2,900",-,-,-,-,-,-,-,-,-700,-700,"-29,000",-,-,-,-,"2,400",900,900,300,300,300,900,300,"-31,300","-31,300",-,"-4,700","-7,500","2,800",-,-,-,-100,-100,-,-,"-26,500","4,200","4,200",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-54,900",-,-,"-51,500","98,300",-,-,-100,-,-,-,-,"-24,500"
107,12/31/1992,"19,900","19,900","2,400",-,-,-,-,-,-,-,-,"1,700","1,700","17,200",-,-,-,-,"-1,400",200,200,-,-,-,200,-,"-16,900","-16,900",-,"14,600","14,600",0,-,-,-,-,-,-,-,"-31,900","23,000","23,000",-,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,"21,700",-,-,"26,100",-,-,-,-,-,-,-,-,"20,300"
108,9/30/1992,"-15,000","-15,000","3,400",-,-,-,-,-,-,-,-,0,0,"-21,600",-,-,-,-,"3,200","1,400","1,400",200,200,200,"1,400",200,"-40,400","-40,400",-,"-27,000","-28,500","1,500",-,-,-,-200,-200,-,-,"-13,200","66,100","66,100",-,"60,000",-,-,-,"60,000",-,-,-,-,-,-,-,-,-,-,"-67,900",-,-,"10,800",-,-,-,-200,-,-,-,-,"-15,200"
109,6/30/1992,"9,800","9,800","3,300",-,-,-,-,-,-,-,-,"-1,300","-1,300","10,000",-,-,-,-,"-2,200","-1,900","-1,900",800,800,800,"-1,900",800,"-76,100","-76,100",-,700,"-4,100","4,800",-,-,-,0,0,-,-,"-76,800","97,600","97,600",-,"58,700",-,-,-,"58,700",-,-,-,-,-,-,-,-,-,-,"155,700",-,-,"31,200",-,-,-,-,-,-,-,-,"9,800"
110,3/31/1992,"15,200","15,200","2,700",-,-,-,-,-,-,-,-,-200,-200,"14,300",-,-,-,-,"-1,600",-700,-700,-100,-100,-100,-700,-100,"-100,900","-100,900",-,-500,"-1,400",900,-,-,-,-200,-200,-,-,"-100,200","101,700","101,700",-,"34,400",-,-,-,"34,400",-,-,-,-,-,-,-,-,-,-,"-67,200",-,-,"16,000","14,200",-,-,-200,-,-,-,-,"15,000"
111,12/31/1991,"-14,500","-14,500","2,300",-100,-100,-,-,-,-,-,-,"-1,100","-1,100","-17,000",-,-,-,-,"1,400",100,100,600,600,600,100,600,"-65,300","-65,300",-,"10,800","-4,700","15,500",-,-,-,-300,-300,-,-,"-75,800","84,300","84,300",-,"44,100",-,-,-,"44,100",-,-,-,-,-,-,-,-,-,-,"-260,100",200,-,"4,700",-,-,-,-300,-,-,-,-,"-14,800"
112,9/30/1991,"2,100","2,100","2,000",0,0,-,-,-,-,-,-,-300,-300,"3,000",-,-,-,-,"-2,600",-400,-400,-900,-900,-900,-400,-900,"-68,000","-68,000",-,"2,400","-1,400","3,800",-,-,-,-200,-200,-,-,"-70,200","64,600","64,600",-,700,-,-,-,700,-,-,-,-,-,-,-,-,-,-,"35,000",-,-,"-1,400",-,-,-,-200,-,-,-,-,"1,900"
113,6/30/1991,"4,000","4,000","1,700",0,0,-,-,-,-,-,-,-800,-800,"1,100",-,-,-,-,"2,000",700,700,300,300,300,700,300,"-63,900","-63,900",-,100,"-1,400","1,500",-,-,-,-100,-100,-,-,"-63,900","42,500","42,500",-,"-50,900",-,-,-,"-50,900",-,-,-,-,-,-,-,-,-,-,"86,100",-,-,"-17,400",-,-,-,-100,-,-,-,-,"3,900"
114,3/31/1991,-900,-900,"1,500",500,500,-,-,-,-,-,-,-100,-100,"5,200",-,-,-,-,"-8,000","-2,700","-2,700","-1,300","-1,300","-1,300","-2,700","-1,300","-20,100","-20,100",-,"12,100","-1,500","13,600",-,-,-,-100,-100,-,-,"-32,100","27,300","27,300",-,"24,500",-,-,-,"24,500",-,-,-,-,-,-,-,-,-,-,"-7,700",-,-,"6,300","22,000",-,-,-100,-,-,-,-,"-1,000"
115,12/31/1990,-700,-700,"1,300",0,0,-,-,-,-,-,-,-,-,"4,100",-,-,-,-,"-5,000","-1,700","-1,700",-800,-800,-800,"-1,700",-800,"-51,900","-51,900",-,"1,400","-1,400","2,800",-,-,-,-700,-700,-,-,"-52,600","36,700","36,700",-,"-47,000",-,-,-,"-47,000",-,-,-,0,0,-,-,-,-,-,"77,800",-,-,"-15,800",-,-,-,-700,0,-,-,-,"-1,400"
116,9/30/1990,"6,300","6,300","1,200",100,100,-,-,-,-,-,-,-,-,"-3,000",-,-,-,-,"8,000","-1,900","-1,900","5,900","5,900","5,900","-1,900","5,900","-69,400","-69,400",-,"-6,000","-8,400","2,400",-,-,-,-400,-400,-,-,"-63,000","47,400","47,400",-,"36,800",-,-,-,"36,800",-,-,-,-100,-100,-,-,-,-,-,"-20,300",-,-,"-15,800",-,-,-,-400,-100,-,-,-,"5,900"
117,6/30/1990,"-1,800","-1,800","1,000",-,-,-,-,-,-,-,-,-,-,"2,100",-,-,-,-,"-5,000",-800,-800,"-1,700","-1,700","-1,700",-800,"-1,700","-55,300","-55,300",-,"-14,700",-,"11,000",-,-,-,-300,-300,-,-,"-40,300","63,300","63,300",-,"12,200",-,-,-,"12,200",-,-,-,-,-,-,-,-,-,-,"37,300",-,-,"6,300",-,-,-,-300,-,-,-,-,"-2,100"
118,3/31/1990,800,800,300,-,-,-,-,-,-,-,-,-,-,"1,300",-,-,-,-,-800,-600,-600,200,200,200,-600,200,"-25,200","-25,200",-,"8,500",-,"8,500",-,-,-,-400,-400,-,-,"-33,300","34,100","34,100",-,"-1,200",-,-,-,"-1,200",-,-,-,-,-,-,-,-,-,-,"-11,900",-100,-,"9,600","37,800",-,-,-400,-,-,-,-,400
