,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Interest Bearing Deposits Assets,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Federal Home Loan Bank Stock,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Machinery Furniture Equipment,Construction in Progress,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Other Capital Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
10,6/30/2020,"128,303,887","3,099,170","3,099,170","483,157",-,"2,616,013",-,-,-,-,"478,481","1,071",-,"1,468,712","20,211,741",-,"2,703,913","17,507,828","1,576,956",-,"21,445","99,744,893","100,328,890","313,655","14,631,388",-,"78,535,800","6,848,047","583,997",-,"427,907","269,344",-,"158,563",-,"1,295,756","1,295,756",-,-,-,-,"1,295,756",-,"262,696","171,616","91,080",-,-,"1,292,015","117,727,959","98,533,961","60,947,021","60,947,021","37,586,940",-,0,-,-,-,-,-,"5,000","5,000","5,000","20,115","18,116,446","17,178,205","15,405,000","938,241","1,052,437","10,575,928","10,575,928","1,146,721","1,145,000","1,721",-,"4,858,965","4,543,051",-,"27,191",-,-,"27,754,133","1,145,000","9,430,928","938,241","10,313,232","26,614,133","9,168,232","18,121,446","14,084,035","172,094","172,094","45,800"
11,3/31/2020,"123,914,929","3,949,378","3,949,378","497,130",-,"3,452,248",-,-,-,-,"494,100","1,071","1,071","1,460,909","19,899,899",-,"2,370,066","17,529,833","1,243,798",-,"30,384","95,098,029","95,639,935","354,873","13,694,904",-,"74,924,454","6,665,704","541,906",-,"380,259","258,415",-,"121,844",-,"1,261,807","1,261,807",-,-,-,-,"1,261,807",-,"274,725","171,616","103,109",-,-,"1,064,368","113,555,164","93,692,339","56,771,704","56,771,704","36,920,635",-,-,-,-,-,-,-,0,0,0,"50,533","18,918,503","18,022,732","16,250,000","895,771","893,789","10,359,765","10,359,765","1,146,714","1,145,000","1,714",-,"4,652,089","4,543,650",-,"17,312",-,-,"28,382,497","1,145,000","9,214,765","895,771","10,085,040","27,237,497","8,940,040","18,918,503","14,073,354","171,395","171,395","45,800"
12,12/31/2019,"116,263,634","1,699,557","1,699,557","361,932",-,"1,337,625",-,-,-,-,"367,943",-,-,"1,434,642","19,549,897",-,"2,402,264","17,147,633","1,282,169",-,-,"90,324,031","90,820,135","23,304","11,646,816",-,"72,747,043","6,402,972","496,104",-,"381,560","381,560",-,-,-,"1,174,305","1,650,232","2,795","526,907",-,"333,066","787,464","-475,927","276,989","171,616","105,373","391,781","391,781","662,929","106,412,527","90,133,246","57,008,981","57,008,981","33,124,265","450,000","450,000",-,-,-,-,-,"350,000","350,000","350,000","27,051","14,287,145","13,475,604","12,200,000","811,541","1,165,085","9,851,107","9,851,107","1,146,686","1,145,000","1,686",-,"4,484,375","4,214,915",-,"5,131",-,-,"23,326,711","1,145,000","8,706,107","811,541","9,574,118","22,531,711","8,429,118","14,637,145","12,126,047","168,621","168,621","45,800"
13,9/30/2019,"111,028,735","2,181,600","2,181,600",-,-,"2,181,600",-,-,-,-,-,-,-,"1,425,057","18,462,624",-,"2,459,902","16,002,722","1,401,105",-,-,"85,851,038","86,336,503","31,693","11,564,863",-,"68,829,363","5,910,584","485,465",-,-,-,-,-,"2,424,383","373,693",-,-,-,-,-,-,-,"310,340","198,447","111,893",-,-,-,"101,597,529","85,720,519","53,000,202","53,000,202","32,720,317","475,000","475,000",-,-,-,-,-,"300,000","300,000","300,000","38,901","12,953,532","12,175,275","10,900,000","778,257","2,109,577","9,431,206","9,431,206","941,685","940,000","1,685",-,"4,281,249","4,198,442",-,"9,830",-,-,"21,606,481","940,000","8,491,206","778,257","9,120,866","20,966,481","8,180,866","13,253,532","10,293,675","168,450","168,450","37,600"
14,6/30/2019,"105,699,636","2,220,073","2,220,073",-,-,"2,220,073",-,-,-,-,-,-,-,"1,412,883","17,233,350",-,"2,511,782","14,721,568","1,438,061",-,-,"81,777,028","82,250,123","12,502","11,686,510",-,"64,988,311","5,562,800","473,095",-,-,-,-,-,"2,390,649","348,609",-,-,-,-,-,-,-,"317,044","198,447","118,597",-,-,-,"96,479,993","83,431,083","51,407,958","51,407,958","32,023,125",-,-,-,-,-,-,-,0,0,0,"12,420","11,867,278","11,074,947","9,800,000","792,331","1,169,212","9,219,643","9,219,643","941,682","940,000","1,682",-,"4,091,636","4,186,304",-,21,-,-,"20,294,590","940,000","8,279,643","792,331","8,902,599","19,354,590","7,962,599","11,867,278","8,854,874","168,176","168,176","37,600"
15,3/31/2019,"101,847,228","3,693,396","3,693,396",-,-,"3,693,396",-,-,-,-,-,-,-,"1,404,083","17,128,156",-,"2,685,280","14,442,876","1,624,970",-,-,"76,821,854","77,274,975","9,878","10,616,044",-,"61,451,611","5,197,442","453,121",-,-,-,-,-,"2,136,675","339,745",-,-,-,-,-,-,-,"323,319","198,447","124,872",-,-,-,"92,801,244","81,612,117","50,250,005","50,250,005","31,362,112",-,-,-,-,-,-,-,0,0,0,-,"9,674,442","9,674,442","8,000,000",-,"1,514,685","9,045,984","9,045,984","941,674","940,000","1,674",-,"3,914,294","4,203,473",-,"-13,457",-,-,"18,720,426","940,000","8,105,984",-,"8,722,665","17,780,426","7,782,665","9,674,442","5,981,046","167,202","167,202","37,600"
16,12/31/2018,"99,205,204","2,811,159","2,811,159",-,-,"2,811,159",-,-,-,-,"273,240",-,-,"1,376,579","17,292,349",-,"1,076,260","14,436,973","1,779,116",-,-,"75,525,219","75,964,267","98,985","10,998,503",-,"59,755,750","5,111,029","439,048",-,"333,708","333,708",-,-,"595,475","332,483","722,364","2,795","427,937",-,"291,632",-,"-389,881","328,444","198,447","129,997","336,548","336,548",-,"90,527,427","79,063,236","49,029,578","49,029,578","30,033,658",-,-,-,-,-,-,-,"100,000","100,000","100,000",-,"10,373,907","10,373,907","8,700,000",-,"990,284","8,677,777","8,677,777","941,649","940,000","1,649",-,"3,731,205","4,024,306",-,"-19,383",-,-,"19,051,684","940,000","7,737,777",-,"8,349,333","18,211,684","7,409,333","10,473,907","7,662,748","164,902","164,902","37,600"
17,9/30/2018,"96,094,222","3,013,645","3,013,645",-,-,"3,013,645",-,-,-,-,-,-,-,"1,361,473","17,388,995",-,"1,093,955","14,294,769","2,000,271",-,-,"72,186,853","72,602,678","274,181","10,382,050",-,"57,074,102","4,872,345","415,825",-,-,-,-,-,"1,483,892","324,052",-,-,-,-,-,-,-,"335,312","198,447","136,865",-,-,-,"87,427,535","74,759,252","45,441,498","45,441,498","29,317,754",-,-,-,-,-,-,-,"100,000","100,000","100,000",-,"11,273,377","11,273,377","9,600,000",-,"1,294,906","8,666,687","8,666,687","1,141,648","1,140,000","1,648",-,"3,546,298","4,000,146",-,"-21,405",-,-,"19,940,064","1,140,000","7,526,687",-,"8,331,375","18,900,064","7,191,375","11,373,377","8,359,732","164,761","164,761","45,600"
18,6/30/2018,"93,851,460","3,993,226","3,993,226",-,-,"3,993,226",-,-,-,-,-,-,-,"1,349,823","17,522,377",-,"1,074,533","14,284,071","2,163,773",-,-,"68,796,270","69,193,647","46,753","9,603,626",-,"54,853,711","4,689,557","397,377",-,-,-,-,-,"1,533,840","312,278",-,-,-,-,-,-,-,"343,646","198,447","145,199",-,-,-,"85,575,487","72,771,950","44,343,118","44,343,118","28,428,832",-,-,-,-,-,-,-,"600,000","600,000","600,000",-,"11,322,850","11,322,850","9,650,000",-,"880,687","8,275,973","8,275,973","1,141,626","1,140,000","1,626",-,"3,379,725","3,772,323",-,"-17,701",-,-,"19,598,823","1,140,000","7,135,973",-,"7,932,327","19,058,823","6,792,327","11,922,850","7,929,624","162,638","162,638","45,600"
19,3/31/2018,"90,223,508","3,839,931","3,839,931",-,-,"3,839,931",-,-,-,-,-,-,-,"1,340,170","17,629,623",-,"1,108,336","14,264,992","2,256,295",-,-,"65,499,549","65,878,327","686,393","8,991,752",-,"51,991,112","4,209,070","378,778",-,-,-,-,-,"1,265,806","299,587",-,-,-,-,-,-,-,"348,842","198,447","150,395",-,-,-,"82,386,970","71,255,072","43,758,430","43,758,430","27,496,642",-,-,0,-,-,-,-,0,0,0,-,"10,172,327","10,172,327","8,500,000",-,"959,571","7,836,538","7,836,538","841,619","840,000","1,619",-,"3,211,804","3,797,419",-,"-14,304",-,-,"18,008,865","840,000","6,996,538",-,"7,487,696","17,168,865","6,647,696","10,172,327","6,332,396","161,863","161,863","33,600"
20,12/31/2017,"87,780,507","2,297,021","2,297,021",-,-,"2,297,021",-,-,-,-,"282,150",-,-,"1,330,652","19,683,579",-,"1,107,546","16,157,945","2,418,088",-,-,"62,561,978","62,927,910","87,695","8,295,224",-,"50,675,386","3,869,605","365,932",-,"369,536","290,210",-,"79,326","365,334","296,197","603,359","2,795","347,118",-,"253,446",-,"-307,162","356,360","198,447","157,913","237,700","237,700",-,"79,962,206","68,918,708","42,563,377","42,563,377","26,355,331",-,0,0,-,-,-,-,"100,000","100,000","100,000",-,"9,971,807","9,971,807","8,300,000",-,"971,691","7,818,301","7,818,301","991,617","990,000","1,617",-,"3,051,611","3,778,913",-,"-3,840",-,-,"17,790,108","990,000","6,828,301",-,"7,461,941","16,900,108","6,471,941","10,071,807","7,774,786","161,696","161,696","25,600"
21,9/30/2017,"84,320,096","2,681,599","2,681,599",-,-,"2,681,599",-,-,-,-,-,-,-,"1,320,775","18,657,480",-,"1,126,647","15,218,615","2,312,218",-,-,"59,841,231","60,188,996","716,046","7,952,335",-,"48,011,956","3,508,659","347,765",-,-,-,-,-,"1,183,044","277,809",-,-,-,-,-,-,-,"358,158","198,447","159,711",-,-,0,"76,892,150","65,436,323","40,313,467","40,313,467","25,122,856","450,000","450,000",0,-,-,-,-,0,0,0,-,"9,971,293","9,971,293","8,300,000",-,"1,034,534","7,427,946","7,427,946","991,579","990,000","1,579",0,"2,899,417","3,536,400",-,550,-,-,"17,399,239","990,000","6,437,946",-,"7,069,788","16,409,239","6,079,788","9,971,293","7,289,694","157,930","157,930","39,600"
22,6/30/2017,"80,978,231","2,295,125","2,295,125",-,-,"2,295,125",-,-,-,-,-,"1,930","1,930","1,292,238","17,991,703",-,"1,113,378","14,642,402","2,235,923",-,-,"57,624,116","57,962,423","202,348","7,981,609",-,"46,534,513","3,243,953","338,307",-,-,-,-,-,"1,146,712","260,308",-,-,-,-,-,-,-,"366,099","203,177","162,922",-,-,-,"73,718,148","63,293,706","37,523,794","37,523,794","25,769,912",-,0,0,-,-,-,-,"150,000","150,000","150,000",-,"9,243,279","9,243,279","7,550,000",-,"1,031,163","7,260,083","7,260,083","991,577","990,000","1,577",-,"2,741,041","3,525,283",-,"2,182",-,-,"16,503,362","990,000","6,270,083",-,"6,893,984","15,663,362","5,903,984","9,393,279","7,098,154","157,686","157,686","39,600"
23,3/31/2017,"76,504,351","2,756,485","2,756,385",-,-,"2,756,385",-,100,100,100,-,-,-,"1,282,659","17,106,033",-,"1,134,172","13,934,204","2,037,657",-,-,"53,795,448","54,110,426","178,226","6,897,282",-,"44,111,842","2,923,076","314,978",-,-,-,-,-,"954,955","236,774",-,-,-,-,-,-,-,"371,997","203,177","168,820",-,-,-,"69,415,606","61,207,248","37,584,286","37,584,286","23,622,962","100,000",0,"100,000",-,-,-,-,0,0,0,-,"7,100,286","7,100,286","5,900,000",-,"1,008,072","7,088,745","7,088,745","941,571","940,000","1,571",-,"2,595,978","3,547,447",-,"3,749",-,-,"14,189,031","940,000","6,148,745",-,"6,716,748","13,249,031","5,776,748","7,100,286","4,343,901","157,122","157,122","37,600"
24,12/31/2016,"73,277,772","2,107,822","2,107,722",-,-,"2,107,722",-,100,100,100,"160,650",-,-,"1,273,172","16,278,831",-,"1,121,416","13,150,157","2,007,258",-,"20,048","52,109,145","52,415,543","407,226","6,872,327",-,"42,457,479","2,678,511","306,398",-,"225,313","225,313",-,-,"283,158","207,592","441,402","1,320","225,196",-,"214,886",-,"-233,810","377,986","203,177","174,809","234,055","234,055",-,"66,369,120","58,602,381","35,862,078","35,862,078","22,740,303","100,000",0,"100,000",-,-,-,-,0,0,0,-,"6,711,308","6,711,308","5,900,000",-,"955,431","6,908,652","6,908,652","1,141,068","1,139,525","1,543",-,"2,459,540","3,301,705",-,"6,339",-,-,"13,619,960","1,139,525","5,769,127",-,"6,530,666","12,480,435","5,391,141","6,711,308","4,603,586","154,292","154,292","37,600"
25,9/30/2016,"67,993,547","1,387,067","1,386,967",-,-,"1,386,967",-,100,100,100,-,"1,196","1,196","1,266,194","13,876,361",-,"1,071,255","11,094,535","1,710,571",-,-,"50,077,001","50,399,489","514,291","7,128,758",-,"40,275,851","2,480,589","322,488",-,-,-,-,-,"845,229","190,213",-,-,-,-,-,-,-,"350,286","171,616","178,670",-,-,-,"61,549,049","55,061,697","34,096,448","34,096,448","20,965,249","100,000",0,"100,000",-,-,-,-,"200,000","200,000","200,000",-,"5,412,065","5,412,065","4,600,000",-,"875,287","6,444,498","6,444,498","1,141,026","1,139,525","1,501",-,"2,322,296","2,962,355",-,"18,821",-,-,"11,856,563","1,139,525","5,304,973",-,"6,094,212","10,917,038","4,954,687","5,612,065","4,225,098","149,842","149,842","45,581"
26,6/30/2016,"64,729,863","1,564,157","1,564,057",-,-,"1,564,057",-,100,100,100,-,"1,196","1,196","1,238,646","12,652,122",-,"1,058,761","10,110,596","1,482,765",-,-,"47,767,786","48,046,517","438,911","6,382,154",-,"38,989,869","2,235,583","278,731",-,-,-,-,-,"971,136","181,647",-,-,-,-,-,-,-,"353,173","171,616","181,557",-,-,-,"58,423,650","51,161,243","31,574,428","31,574,428","19,586,815","100,000",-,"100,000",-,-,-,-,"850,000","850,000","850,000",-,"5,474,754","5,474,754","5,050,000",-,"837,653","6,306,213","6,306,213","1,141,022","1,139,525","1,497",-,"2,192,313","2,959,168",-,"13,710",-,-,"11,780,967","1,139,525","5,166,688",-,"5,953,040","11,491,442","4,813,515","6,324,754","4,760,697","149,722","149,722","45,581"
27,3/31/2016,"62,102,510","1,946,247","1,946,147",-,-,"1,946,147",-,100,100,100,-,"1,393","1,393","1,177,692","12,475,704",-,"1,085,034","9,580,850","1,809,820",-,-,"45,172,920","45,438,499","42,380","5,873,309",-,"37,664,227","1,858,583","265,579",-,-,-,-,-,"797,116","174,857",-,-,-,-,-,-,-,"356,581","171,616","184,965",-,-,-,"56,117,785","50,935,255","31,241,257","31,241,257","19,693,998","100,000",-,"100,000",-,-,-,-,-,-,-,-,"4,226,107","4,226,107","3,800,000",-,"856,423","5,984,725","5,984,725","1,140,988","1,139,525","1,463",-,"2,059,871","2,773,255",-,"10,611",-,-,"10,210,832","1,139,525","4,845,200",-,"5,628,144","9,071,307","4,488,619","4,226,107","2,279,960","146,314","146,314","45,581"
28,12/31/2015,"58,981,285","1,131,210","1,131,110",-,-,"1,131,110",-,100,100,100,"135,068",-,-,"1,168,596","11,458,315",-,"1,006,836","7,540,678","2,910,801",-,"40,093","43,871,192","44,132,250","48,681","6,217,175",-,"36,378,420","1,487,974","261,058",-,"178,531","178,531",-,-,"264,708","172,008","356,452","1,320","163,697",-,"191,435",-,"-184,444","362,554","171,616","190,938","199,010","199,010",-,"53,275,602","47,893,465","29,641,458","29,641,458","18,252,007","100,000",-,"100,000",-,-,-,-,-,-,-,-,"4,426,802","4,426,802","4,000,000",-,"855,335","5,705,683","5,705,683","990,986","989,525","1,461",-,"1,949,652","2,770,265",-,"-5,220",-,-,"10,132,485","989,525","4,716,158",-,"5,343,129","9,142,960","4,353,604","4,426,802","3,295,692","146,110","146,110","35,581"
29,9/30/2015,"55,375,220","1,795,880","1,795,780",-,-,"1,795,780",-,100,100,100,-,"2,541","2,541","1,059,237","9,046,861",-,"890,430","6,572,289","1,584,142",-,-,"42,351,631","42,602,039","250,494","5,821,698",-,"35,200,005","1,329,842","250,408",-,-,-,-,-,"702,125","161,634",-,-,-,-,-,-,-,"255,311","106,549","148,762",-,-,-,"49,991,046","44,342,944","26,796,689","26,796,689","17,546,255","100,000",-,"100,000",-,-,-,-,-,-,-,-,"4,777,680","4,777,680","4,350,000",-,"770,422","5,384,174","5,384,174","990,950","989,525","1,425",-,"1,846,604","2,533,713",-,"12,907",-,-,"10,161,854","989,525","4,394,649",-,"5,128,863","9,172,329","4,139,338","4,777,680","2,981,900","142,477","142,477",989.525
30,6/30/2015,"53,118,575","1,371,129","1,367,879",-,-,"1,367,879",-,"3,250","3,250","3,250",-,-,-,"1,031,137","8,646,700",-,"880,321","6,516,374","1,250,005",-,-,"40,892,826","41,128,694","162,841","5,492,130",-,"34,268,744","1,204,979","235,868",-,-,-,-,-,"753,886","163,758",-,-,-,-,-,-,-,"259,139","106,549","152,590",-,-,-,"47,853,509","41,887,566","25,581,488","25,581,488","16,306,078","100,000",-,"100,000",-,-,-,-,-,-,-,-,"5,152,877","5,152,877","4,725,000",-,"713,066","5,265,066","5,265,066","990,949","989,525","1,424",-,"1,748,750","2,523,239",-,"2,128",-,-,"10,417,943","989,525","4,275,541",-,"5,005,927","9,428,418","4,016,402","5,152,877","3,784,998","142,389","142,389",989.525
31,3/31/2015,"51,066,460","1,644,634","1,644,534",-,-,"1,644,534",-,100,100,100,-,-,-,"1,022,466","8,337,811",-,"844,213","6,064,700","1,428,898",-,-,"38,851,366","39,070,582","63,824","5,043,792",-,"32,965,353","997,613","219,216",-,-,-,-,-,"786,488","162,051",-,-,-,-,-,-,-,"261,644","106,549","155,095",-,-,-,"45,991,463","39,939,190","25,415,736","25,415,736","14,523,454",-,-,-,-,-,-,-,-,-,-,-,"5,354,376","5,354,376","4,925,000",-,"697,897","5,074,997","5,074,997","890,946","889,525","1,421",-,"1,653,338","2,522,159",-,"8,554",-,-,"10,429,373","889,525","4,185,472",-,"4,813,353","9,539,848","3,923,828","5,354,376","3,709,842","142,105","142,105",889.525
32,12/31/2014,"48,353,330","817,250","817,150",-,-,"817,150",-,100,100,100,-,0,0,"1,014,734","7,466,704",-,"828,640","5,244,707","1,393,357",-,-,"37,872,475","38,201,378","271,448","4,873,580",-,"32,102,640","953,710","328,903",-,-,-,-,-,"750,891","165,703",-,-,-,-,-,-,-,"265,573","106,549","159,024",-,-,-,"43,574,863","37,130,929","24,588,048","24,588,048","12,542,881",-,-,-,-,-,-,-,-,-,-,-,"5,710,551","5,710,551","5,275,000",-,"733,383","4,778,467","4,778,467","890,908","889,525","1,383",-,"1,570,871","2,313,592",-,"3,096",-,-,"10,489,018","889,525","3,888,942",-,"4,512,894","9,599,493","3,623,369","5,710,551","4,893,401","138,269","138,269",889.525
33,9/30/2014,"46,680,920","1,372,828","1,372,728",-,-,"1,372,728",-,100,100,100,-,0,0,"1,006,125","6,452,308",-,"809,288","3,995,007","1,648,013",-,-,"36,669,789","36,864,838","339,680","4,288,583",-,"31,301,780","934,795","195,049",-,-,-,-,-,"749,551","162,991",-,-,-,-,-,-,-,"267,328","106,549","160,779",-,-,-,"41,995,245","35,607,407","23,658,407","23,658,407","11,949,000",-,-,-,-,-,-,-,-,-,-,-,"5,712,685","5,712,685","5,275,000",-,"675,153","4,685,675","4,685,675","890,907","889,525","1,382",-,"1,488,846","2,306,159",-,-237,-,-,"10,398,360","889,525","3,796,150",-,"4,418,347","9,508,835","3,528,822","5,712,685","4,339,957","138,155","138,155",889.525
34,6/30/2014,"46,229,343","1,751,117","1,751,017",-,-,"1,751,017",-,100,100,100,-,"4,767","4,767","878,935","6,128,960",-,"756,655","3,380,479","1,991,826",-,-,"36,330,918","36,512,229","236,467","4,132,107",-,"31,126,233","1,017,422","181,311",-,-,-,-,-,"708,327","162,742",-,-,-,-,-,-,-,"263,577","106,549","157,028",-,-,-,"41,639,284","35,034,479","23,749,279","23,749,279","11,285,200",-,-,-,-,-,-,-,-,-,-,-,"5,986,586","5,986,586","5,550,000",-,"618,219","4,590,059","4,590,059","890,905","889,525","1,380",-,"1,386,235","2,296,647",-,"16,272",-,-,"10,576,645","889,525","3,700,534",-,"4,326,482","9,687,120","3,436,957","5,986,586","4,235,569","137,977","137,977",889.525
35,3/31/2014,"44,345,897","1,791,111","1,762,222",-,-,"1,762,222",-,"28,889","28,889","28,889",-,"3,200","3,200","772,216","5,719,960",-,"742,682","3,337,518","1,639,760",-,-,"34,941,883","35,101,524","505,445","3,573,248",-,"30,189,221","833,610","159,641",-,-,-,-,-,"689,397","164,507",-,-,-,-,-,-,-,"263,623","106,549","157,074",-,-,-,"39,851,862","33,567,938","24,200,499","24,200,499","9,367,439",-,-,-,-,-,-,-,-,-,-,-,"5,691,743","5,691,743",-,-,"592,181","4,494,035","4,494,035","890,900","889,525","1,375",-,"1,298,667","2,289,799",-,"14,669",-,-,"10,185,778","889,525","3,604,510",-,"4,230,412","9,296,253","3,340,887","5,691,743","3,929,521","137,521","137,521",889.525
36,12/31/2013,"42,112,763","807,985","807,885",-,-,"807,885",-,100,100,100,-,"3,200","3,200","766,291","5,512,610",-,"688,870","3,252,534","1,571,206",-,-,"33,906,302","34,257,613","58,759","3,582,054",-,"29,853,075","763,725","351,311","-198,306",-,-,-,-,"680,756","166,544",-,-,-,-,-,-,-,"269,075","106,549","162,526",-,-,0,"37,952,716","32,082,716","23,223,440","23,223,440","8,859,276",-,-,-,-,-,-,-,0,0,0,-,"5,193,132","5,193,132",-,-,"676,868","4,160,047","4,160,047","890,853","889,525","1,328",0,"1,213,896","2,042,027",-,"13,271",-,-,"9,353,179","889,525","3,270,522",-,"3,890,972","8,463,654","3,001,447","5,193,132","4,385,247","132,768","132,768",889.525
37,9/30/2013,"40,950,820","1,954,100","1,934,727",-,-,"1,934,727",-,"19,373","19,373","19,373",-,"3,353","3,353","759,240","4,814,504",-,"626,582","2,966,120","1,221,802",-,-,"32,328,401","32,474,313","60,054","3,178,930",-,"28,423,172","812,157","145,912",-,-,-,-,-,"653,001","162,839",-,-,-,-,-,-,-,"275,382","106,549","168,833",-,-,-,"37,072,023","31,290,369","22,736,274","22,736,274","8,554,095",-,-,-,-,-,-,-,0,0,0,-,"5,196,999","5,196,999","5,150,000",-,"584,655","3,878,797","3,878,797","690,847","689,525","1,322",-,"1,127,077","2,043,498",-,"17,375",-,-,"9,075,796","689,525","3,189,272",-,"3,603,415","8,386,271","2,913,890","5,196,999","3,262,272","132,179","132,179",689.525
38,6/30/2013,"37,312,741","591,901","591,738",-,-,"591,738",-,163,163,163,-,-,-,"733,958","4,562,089",-,"534,554","2,793,705","1,233,830",-,-,"30,347,602","30,495,909","53,284","3,019,496",-,"26,604,036","819,093","148,307",-,-,-,-,-,"639,921","156,446",-,-,-,-,-,-,-,"280,824","106,549","174,275",-,-,-,"33,525,618","28,228,641","20,278,429","20,278,429","7,950,212","120,000","120,000",-,-,-,-,-,"250,000","250,000","250,000",-,"4,399,126","4,399,126","4,350,000",-,"527,851","3,787,123","3,787,123","690,843","689,525","1,318",-,"1,041,417","2,036,607",-,"18,256",-,-,"8,186,249","689,525","3,097,598",-,"3,506,299","7,746,724","2,816,774","4,649,126","4,057,388","131,822","131,822",689.525
39,3/31/2013,"35,082,904","552,937","552,837",-,-,"552,837",-,100,100,100,-,-,-,"707,775","4,484,874",-,"478,616","2,624,120","1,382,138",-,-,"28,251,930","28,388,030","230,578",-,-,-,"28,157,452","136,100",-,-,-,-,-,"650,296","153,365",-,-,-,-,-,-,-,"281,727","106,549","175,178",-,-,-,"31,564,998","26,853,114","19,508,437","19,508,437","7,344,677","120,000","120,000",-,-,-,-,-,"690,000","690,000","690,000",-,"3,503,143","3,503,143","3,450,000",-,"398,741","3,517,906","3,517,906","500,840","499,525","1,315",-,"953,284","2,035,558",-,"28,224",-,-,"7,021,049","499,525","3,018,381",-,"3,236,179","7,211,524","2,736,654","4,193,143","3,640,306","131,481","131,481",499.525
40,12/31/2012,"34,387,677","633,165","602,264",-,-,"602,264",-,"30,901","30,901","30,901","162,291",0,0,"701,672","3,990,170",-,"484,548","2,545,189","960,433",-,"8,066","28,061,501","28,191,390","204,631","2,569,832",-,"24,603,896","813,031","129,889",-,"112,392","112,392",-,-,"60,880","142,201","204,237","1,318","68,495","15,822","118,602",-,"-62,036","283,227","106,549","176,678","130,540","130,540","101,572","30,989,133","27,088,247","18,543,775","18,543,775","8,544,472",-,-,-,-,-,-,-,-,-,-,-,"3,281,450","3,281,450","3,225,000",-,"619,436","3,398,544","3,398,544","500,838","499,525","1,313",-,"838,752","2,027,578",-,"31,376",-,0,"6,679,994","499,525","2,899,019",-,"3,115,317","6,180,469","2,615,792","3,281,450","2,679,186","131,273","131,273",499.525
41,9/30/2012,"32,576,170","901,106","877,758",-,-,"877,758",-,"23,348","23,348","23,348",-,-,"2,642","695,240","3,723,114",-,"1,274,226","2,448,888",-,-,-,"26,423,901","26,536,901","63,469","2,204,224","709,105","23,560,103",-,"113,000",-,-,-,-,-,"534,463","133,344",-,-,-,-,-,-,-,"162,360","24,604","137,756",-,-,-,"29,413,768","25,704,078","17,332,995","17,332,995","8,371,083",-,-,-,-,-,-,-,-,-,-,-,"3,211,221","3,211,221","3,150,000",-,"498,469","3,162,402","3,162,402","350,834","349,525","1,309",-,"761,498","2,023,338",-,"26,732",-,0,"6,373,623","349,525","2,812,877",-,"3,000,042","6,024,098","2,650,517","3,211,221","2,333,463","130,950","130,950",349.525
42,6/30/2012,"30,987,001","820,148","800,818",-,-,"800,818",-,"19,330","19,330","19,330",-,-,"3,490","620,085","3,525,307",-,"1,202,066","2,323,241",-,-,-,"25,034,919","25,131,968","63,957","2,002,118","603,005","22,462,888",-,"97,049",-,-,-,-,-,"686,096","128,481",-,-,-,-,-,-,-,"168,475","24,604","143,871",-,-,-,"27,930,388","24,215,303","16,668,847","16,668,847","7,546,456",-,-,-,-,-,-,-,-,-,-,-,"3,267,927","3,267,927","3,150,000",-,"447,158","3,056,613","3,056,613","350,830","349,525","1,305",-,"677,573","2,012,857",-,"15,353",-,0,"6,324,540","349,525","2,707,088",-,"2,888,138","5,975,015","2,538,613","3,267,927","2,467,109","130,532","130,532",349.525
