,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Federal Home Loan Bank Stock,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Machinery Furniture Equipment,Construction in Progress,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Other Capital Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
20,12/31/2000,"3,656,383","120,039","61,894",-,-,"61,894","58,145","58,145",-,-,-,-,-,"284,520",-,-,"284,520",-,-,"3,135,161","3,157,928",-,-,-,-,"3,157,928","22,167",-600,-,-,-,-,-,"20,570",-,-,-,-,-,-,-,"28,491",-,"28,491",-,-,"67,602","3,398,530","2,530,402","2,429,801","2,429,801","100,601",-,-,-,-,-,-,"262,000","262,000","262,000",-,"567,816","567,816",-,-,"38,312","257,853","202,853",189,-,189,-,"135,477","147,788","73,695",-,"-6,906","55,000","770,669",-,"202,853",-,"174,362","1,032,669","174,362","829,816","767,922","30,962","30,962",-
21,12/31/1999,"3,598,746","118,386","62,592",-,-,"62,592","55,794","55,794",-,-,-,-,-,"222,202",-,-,"222,202",-,-,"3,170,881","3,192,760",-,-,-,-,"3,192,760","20,959",-920,-,-,-,-,-,"18,820",-,-,-,-,-,-,-,"24,262",-,"24,262",-,-,"44,195","3,358,586","2,137,719","2,137,719","2,137,719",-,-,-,-,-,-,-,"304,350","304,350","304,350",-,"888,028","888,028",-,-,"28,489","240,160","185,160",118,-,118,-,"112,901","142,588","64,382",-,"-6,065","55,000","1,073,188",-,"185,160",-,"160,898","1,377,538","160,898","1,192,378","1,129,786","30,962","30,962",-
22,12/31/1998,"2,954,300","95,900","48,800",-,-,"48,800","47,100","47,100",-,-,-,-,-,"245,100",-,-,"245,100",-,-,"2,561,500","2,583,400",-,-,-,-,"2,583,400","20,600","-1,300",-,-,-,-,-,"9,400",-,-,-,-,-,-,-,-,-,-,-,-,"42,400","2,785,800","1,744,300","1,744,300","1,744,300",-,-,-,-,"15,300","15,300","15,300","216,200","216,200","216,200",-,"802,400","802,400",-,-,"7,600","168,500","168,500",-,-,-,-,"90,700",-,-,-,"77,800",-,"970,900",-,"168,500",-,"168,500","1,187,100","168,500","1,018,600","969,800","30,962","30,962",-
23,12/31/1997,"2,423,100","123,800","89,100",-,-,"89,100","34,700","34,700",-,-,-,-,-,"138,600",-,-,"138,600",-,-,"2,118,500","2,139,900",-,-,-,-,"2,139,900","19,200","-2,200",-,-,-,-,-,"4,400",-,-,-,-,-,-,-,-,-,-,-,-,"37,800","2,262,900","1,514,500","1,514,500","1,514,500",-,-,-,-,"16,300","16,300","16,300","23,000","23,000","23,000",-,"700,300","700,300",-,-,"8,800","160,200","160,200",-,-,-,-,"70,300",-,-,-,"89,900",-,"860,500",-,"160,200",-,"160,200","883,500","160,200","723,300","634,200","30,962","30,962",-
24,12/31/1996,"2,156,600","61,900","29,300",-,-,"29,300","32,600","32,600",-,-,-,-,-,"156,600",-,-,"156,600",-,-,"1,902,800","1,923,400",-,-,-,-,"1,923,400","17,500","-3,100",-,-,-,-,-,"4,500",-,-,-,-,-,-,-,-,-,-,-,-,"30,800","2,030,200","1,353,100","1,353,100","1,353,100",-,-,-,-,"14,600","14,600","14,600",-,-,-,-,"652,400","652,400",-,-,"10,100","126,400","126,400",-,-,-,-,"53,100",-,-,-,"73,300",-,"778,800",-,"126,400",-,"126,400","778,800","126,400","652,400","623,100","30,962","30,962",-
25,12/31/1995,"1,904,300","61,400","31,100",-,-,"31,100","30,300","30,300",-,-,-,-,-,"140,900",-,-,"140,900",-,-,"1,659,800","1,682,300",-,-,-,-,"1,682,300","18,100","-4,400",-,-,-,-,-,"4,200",-,-,-,-,-,-,-,-,-,-,-,-,"38,000","1,796,000","1,140,400","1,140,400","1,140,400",-,-,-,-,"14,800","14,800","14,800","570,500","570,500","570,500",-,"64,100","64,100",-,-,"6,200","108,300","108,300",-,-,-,-,"40,600",-,-,-,"67,700",-,"172,400",-,"108,300",-,"108,300","742,900","108,300","634,600","603,500","30,962","30,962",-
26,12/31/1994,"1,707,300","61,100","32,600",-,-,"32,600","28,500","28,500",-,-,-,-,-,"129,600",-,-,"129,600",-,-,"1,477,500","1,498,700",-,-,-,-,"1,498,700","14,400","-6,800","10,200","10,200","10,200",-,-,"4,100",-,-,-,-,-,-,-,-,-,-,-,-,"24,800","1,600,000","948,800","948,800","948,800",-,-,-,-,"12,300","12,300","12,300","570,500","570,500","570,500",-,"64,900","64,900",-,-,"3,500","107,300","107,300",-,-,-,-,"39,400",-,-,-,"67,900",-,"172,200",-,"107,300",-,"107,300","742,700","107,300","635,400","602,800","30,962","30,962",-
27,12/31/1993,"1,417,200","62,300","39,400",-,-,"39,400","22,900","22,900",-,-,-,-,-,"84,200",-,-,"84,200",-,-,"1,234,000","1,256,100",-,-,-,-,"1,256,100","12,700","-9,400","8,100","8,100","8,100",-,-,"3,700",-,-,-,-,-,-,-,-,-,-,-,-,"24,900","1,312,300","751,700","751,700","751,700",-,-,-,-,"8,100","8,100","8,100","468,500","468,500","468,500",-,"74,600","74,600",-,-,"9,400","104,900","104,900",-,-,-,-,"35,300",-,-,-,"69,600",-,"179,500",-,"104,900",-,"104,900","648,000","104,900","543,100","503,700","30,962","30,962",-
28,12/31/1992,"1,232,500","99,000","99,000",-,-,"99,000",-,-,-,-,-,-,-,"59,300",-,-,"59,300",-,-,"1,042,500","1,067,800",-,-,-,-,"1,067,800","12,700","-12,600","8,300","8,300","8,300",-,-,"2,600",-,-,-,-,-,-,-,-,-,-,-,-,"20,800","1,140,400","698,800","698,800","698,800",-,-,-,-,-,-,-,"373,500","373,500","373,500",-,"58,500","58,500",-,-,"9,600","92,100","92,100",-,-,-,-,"25,800",-,-,-,"66,300",-,"150,600",-,"92,100",-,"92,100","524,100","92,100","432,000","333,000","30,962","30,962",-
29,12/31/1991,"932,100","15,300","15,300",-,-,"15,300",-,-,-,-,-,-,-,"46,700",-,-,"46,700",-,-,"848,400","848,500",-,-,-,-,"848,500","11,700","11,600","8,800","8,800","8,800",-,-,"2,400",-,-,-,-,-,-,-,-,-,-,-,-,"10,500","872,800","605,800","605,800","605,800",-,"215,000",-,-,"5,300","5,300","5,300","2,200","2,200","2,200",-,"38,800","38,800",-,-,"5,700","59,300","59,300",-,-,-,-,"14,000",-,-,-,"45,300",-,"98,100",-,"59,300",-,"59,300","100,300","59,300","41,000","25,700","30,962","30,962",-
30,12/31/1990,"706,200","24,200","24,200",-,-,"24,200",-,-,-,-,-,-,-,"71,900",-,-,"71,900",-,-,"590,600","600,500",-,-,-,-,"600,500","5,300","-4,600","6,500","6,500","6,500",-,-,"2,400",-,-,-,-,-,-,-,100,-,100,-,-,"10,500","675,600","538,300","538,300","538,300",-,-,-,-,-,-,-,"30,500","30,500","30,500",-,"92,600","92,600",-,-,"14,200","30,600","30,600",-,-,-,-,"6,900",-,-,-,"23,700",-,"123,200",-,"30,600",-,"30,500","153,700","30,500","123,100","98,900","30,962","30,962",-
31,12/31/1989,"363,800",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"343,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"24,200","24,200",-,-,"318,800","20,800","20,800",-,-,-,-,"2,200",-,-,-,"18,600",-,"45,000",-,"20,800",-,"20,800","45,000","20,800","24,200","24,200","30,962","30,962",-
